pol	phi	weight
-0.313361	-9.68688	-0.065
-0.325951	161.283	1
0.332745	43.8759	-0.065
0.33559	43.8759	1
0.331281	130.663	1
-0.321253	72.0016	1
-0.313366	72.0016	-0.065
-0.350733	-133.142	-0.065
-0.307114	-133.142	1
0.326808	121.291	1
-0.31024	-4.12123	-0.065
0.332745	33.974	-0.065
0.295571	78.0377	1
-0.34112	-167.377	-0.065
-0.335208	-167.377	-0.065
-0.318101	-141.72	-0.065
0.305152	-23.6324	1
0.305152	-84.8148	-0.065
0.302078	104.91	1
0.297459	104.91	-0.065
0.341986	-152.155	-0.065
0.312945	-152.155	1
0.297459	-152.155	-0.065
-0.31024	1.7223	-0.065
0.317609	125.876	-0.065
0.314505	46.3348	-0.065
-0.352506	40.8006	1
-0.330612	40.8006	1
-0.316523	40.8006	-0.065
-0.319681	-56.2812	1
-0.322826	-117.195	-0.065
-0.325956	-117.195	1
-0.31024	-117.195	-0.065
-0.346227	63.6101	-0.065
-0.314339	11.111	-0.065
-0.337822	100.164	1
-0.350874	73.1425	-0.065
-0.323818	73.1425	-0.065
-0.352167	-74.8586	1
0.33464	-74.2931	-0.065
-0.336317	101.292	-0.065
-0.311189	-136.907	-0.065
-0.315899	-136.907	1
0.300892	37.3343	-0.065
-0.351513	-168.597	1
0.321085	-101.28	-0.065
0.32263	-88.3084	-0.065
0.34009	94.9275	-0.065
-0.328564	73.3196	1
0.348308	-43.478	-0.065
0.299338	-43.478	1
0.347706	-118.547	-0.065
-0.352819	159.082	1
-0.330136	-42.1127	-0.065
-0.312771	-154.617	1
-0.350658	-175.927	-0.065
-0.344935	-175.927	1
0.333189	121	-0.065
0.337444	121	-0.065
0.32263	121	-0.065
-0.352819	10.3993	1
-0.340769	74.6208	-0.065
-0.315899	-15.1502	-0.065
0.32263	-160.09	-0.065
0.316397	22.9598	-0.065
0.33606	120.934	1
-0.33325	-72.0538	1
0.308606	47.6917	-0.065
-0.352819	-33.885	-0.065
0.347706	-29.1728	1
-0.352167	-171.49	-0.065
-0.353633	-102.611	-0.065
-0.338795	93.9818	-0.065
0.33606	35.9947	-0.065
-0.331129	23.2176	-0.065
0.319538	-21.4843	-0.065
-0.353431	-16.993	-0.065
0	0.0690479	1
0	0.0690479	-0.065
0.312835	157.247	1
-0.347184	-135.633	-0.065
-0.309842	120.979	-0.065
-0.352422	22.4034	1
0.323782	5.23312	1
-0.326998	92.8161	-0.065
-0.35185	-29.038	1
-0.339264	-29.038	-0.065
-0.314528	-29.038	-0.065
0.341524	46.511	-0.065
0.308139	46.511	-0.065
-0.312953	171.674	1
-0.34476	-113.623	-0.065
0.340182	-122.068	1
-0.336321	35.8645	1
0.331453	-18.0874	-0.065
0.319091	176.143	-0.065
0.345243	102.835	-0.065
0.303514	52.0865	-0.065
-0.349294	-38.0726	-0.065
0.33592	95.6632	1
-0.316105	121.901	-0.065
-0.317688	121.901	-0.065
0.308139	-35.4661	-0.065
-0.308293	165.466	1
-0.346	-75.4179	-0.065
-0.350952	37.0797	1
-0.312953	90.9787	-0.065
0.317545	113.823	-0.065
-0.349294	155.424	-0.065
-0.330227	-5.38052	-0.065
-0.347184	115.123	-0.065
-0.349294	94.6123	1
-0.327122	94.6123	-0.065
-0.323994	-134.847	-0.065
0.350638	112.082	1
0.306596	121.361	1
-0.352074	19.5792	1
-0.336321	-129.016	-0.065
0.342824	-27.5034	-0.065
0.320672	-111.984	-0.065
0.305055	-111.984	-0.065
-0.351123	-162.275	-0.065
0.320672	77.602	1
-0.335249	17.0487	-0.065
0.350638	178.331	-0.065
0.350638	178.331	1
