,toybin0000,toybin0001,toybin0002,toybin0003,toybin0004,toybin0005,toybin0006,toybin0007,toybin0008,toybin0009,toybin0010,toybin0011,toybin0012,toybin0013,toybin0014,toybin0015,toybin0016,toybin0017,toybin0018,toybin0019,toybin0020,toybin0021,toybin0022,toybin0023,toybin0024,toybin0025,toybin0026,toybin0027,toybin0028,toybin0029,toybin0030,toybin0031,toybin0032,toybin0033,toybin0034,toybin0035,toybin0036,toybin0037,toybin0038,toybin0039,toybin0040,toybin0041,toybin0042,toybin0043,toybin0044,toybin0045,toybin0046,toybin0047,toybin0048,toybin0049,toybin0050,toybin0051,toybin0052,toybin0053,toybin0054,toybin0055,toybin0056,toybin0057,toybin0058,toybin0059,toybin0060,toybin0061,toybin0062,toybin0063,toybin0064,toybin0065,toybin0066,toybin0067,toybin0068,toybin0069,toybin0070,toybin0071,toybin0072,toybin0073,toybin0074,toybin0075,toybin0076,toybin0077,toybin0078,toybin0079,toybin0080,toybin0081,toybin0082,toybin0083,toybin0084,toybin0085,toybin0086,toybin0087,toybin0088,toybin0089,toybin0090,toybin0091,toybin0092,toybin0093,toybin0094,toybin0095,toybin0096,toybin0097,toybin0098,toybin0099
0,0.360474,0.520004,0.558932,0.271299,0.594258,0.277294,0.271048,0.476488,0.598589,0.39283,0.566187,0.379341,0.521657,0.751781,0.344012,0.566239,0.521224,0.530817,0.492374,0.612578,0.704508,0.497556,0.489484,0.360395,0.527194,0.37045,0.654311,0.402948,0.732826,0.902887,0.662644,0.360201,0.556415,0.389826,0.95701,0.428989,0.426446,0.755432,0.417929,0.561414,0.51617,0.344183,0.308949,0.726515,0.848004,0.635197,0.49288,0.456862,0.529785,0.629795,0.583388,0.353982,0.459446,0.30124,0.550797,0.828171,0.895716,0.614228,0.296453,0.341282,0.454141,0.313866,0.183459,0.377228,0.664988,0.476641,0.573412,0.669371,0.035887,0.241254,0.472782,0.320394,0.558067,0.476208,0.874481,0.670799,0.592683,0.535397,0.850076,0.543145,0.469651,0.248189,0.714095,0.443285,0.783105,0.888266,0.326643,0.251838,0.714686,0.61664,0.708033,0.4798,0.528413,0.599336,0.417573,0.387373,0.6892,0.514006,0.452625,0.63663
1,0.812229,0.772097,0.394815,0.412408,0.333986,0.910872,0.615818,0.515271,0.273188,0.208677,0.565266,0.285577,0.501372,0.748677,0.284054,0.293135,0.678104,0.263103,0.276697,0.337508,0.349848,0.425158,0.222145,0.674754,0.838769,0.224256,0.4685,0.385995,0.433808,0.492071,0.559959,0.242025,0.797354,0.147312,0.771915,0.661634,0.244885,0.444873,0.255988,0.393618,0.455707,0.349527,0.319478,0.538025,0.503816,0.548792,0.453458,0.509029,0.555249,0.457029,0.325527,0.219219,0.652178,0.334759,0.433947,0.816471,0.638678,0.502097,0.789341,0.114582,0.0745866,0.382948,0.430844,0.0643834,0.53774,0.386716,0.421551,0.593132,0.664071,0.443935,0.307245,0.314252,0.305671,0.671722,0.586445,0.541754,0.689878,0.21742,0.478164,0.630575,0.477068,0.387932,0.561419,0.174369,0.890303,0.795463,0.179213,0.423128,0.697793,0.522894,0.52815,0.426806,0.322815,0.584971,0.245142,0.373919,0.706423,0.594741,0.336895,0.717322
2,0.490239,0.628934,0.473349,0.239877,0.327644,0.71613,0.320117,0.511273,0.47313,0.488554,0.590046,0.314332,0.547572,0.340544,0.385504,0.577065,0.596191,0.436704,0.460159,0.559807,0.512716,0.568807,0.379758,0.532674,0.597469,0.238576,0.592195,0.328047,0.874006,0.794043,0.650344,0.315186,0.599839,0.161623,0.693797,0.283461,0.23091,0.35684,0.237462,0.162523,0.548586,0.320518,0.440637,0.702059,0.503816,0.690197,0.436068,0.205037,0.472939,0.398223,0.5585,0.201023,0.360107,0.419545,0.403416,0.711264,0.692559,0.42753,0.503652,0.432104,0.480404,0.213097,0.249356,0.379593,0.557449,0.420902,0.687291,0.684369,0.0538576,0.60041,0.230666,0.393391,0.549771,0.383972,0.818453,0.470317,0.749221,0.592844,0.68187,0.599077,0.123243,0.484008,0.474782,0.37918,0.854251,0.714106,0.567327,0.355575,0.391781,0.608716,0.696145,0.381953,0.697167,0.596623,0.171891,0.540057,0.731722,0.617024,0.465945,0.789376
3,0.664927,0.546067,0.580071,0.534017,0.553835,0.723876,0.625633,0.604395,0.5468,0.382058,0.623924,0.469339,0.468905,0.698318,0.351703,0.515445,0.446612,0.35663,0.356427,0.423371,0.573551,0.451997,0.34505,0.441842,0.777548,0.428769,0.324285,0.35165,0.527123,0.435094,0.604131,0.354606,0.69062,0.408981,0.712036,0.180279,0.165504,0.505367,0.529187,0.650689,0.46834,0.325078,0.268449,0.561505,0.737534,0.755807,0.634995,0.477326,0.708738,0.6085,0.587998,0.370265,0.603547,0.174272,0.755898,0.871457,0.449268,0.529619,0.643617,0.514168,0.185328,0.542405,0.387976,0.638204,0.460478,0.322129,0.681537,0.422285,0.202887,0.443106,0.261066,0.463778,0.320475,0.427209,0.459379,0.366443,0.578675,0.304392,0.663796,0.598766,0.316982,0.267649,0.467755,0.321947,0.864858,0.763082,0.497755,0.322386,0.608266,0.553759,0.778252,0.398473,0.344007,0.728617,0.408151,0.614683,0.758602,0.80853,0.43586,0.594533
4,0.800506,0.576375,0.536654,0.157497,0.456061,0.612207,0.283734,0.663216,0.565594,0.405988,0.571193,0.410683,0.512931,0.676292,0.26231,0.261091,0.774119,0.324773,0.357058,0.598701,0.60582,0.329304,0.392394,0.492775,0.678749,0.327725,0.620134,0.385732,0.711463,0.46031,0.736987,0.146774,0.747611,0.0950551,0.630552,0.676579,0.563821,0.395109,0.295595,0.423554,0.507093,0.579142,0.310475,0.627498,0.825408,0.472007,0.432595,0.256193,0.156332,0.422983,0.518824,0.195251,0.587385,0.379976,0.59172,0.809918,0.602193,0.507195,0.649069,0.459495,0.261854,0.595726,0.335562,0.359119,0.70512,0.186107,0.681537,0.776494,0.478625,0.306059,0.325739,0.382095,0.497231,0.401305,0.775041,0.47685,0.663476,0.409394,0.47892,0.597245,0.177263,0.451834,0.633432,0.284564,0.440263,0.669046,0.41856,0.409753,0.434673,0.670866,0.777286,0.280531,0.429639,0.525282,0.480483,0.537231,0.777178,0.472939,0.33371,0.759636
5,0.618568,0.705185,0.522444,0.288011,0.522469,0.797688,0.284543,0.714518,0.305565,0.398848,0.555449,0.290096,0.56925,0.459925,0.287827,0.435445,0.59722,0.52829,0.484184,0.619331,0.340969,0.623819,0.386946,0.499925,0.826441,0.355388,0.394956,0.480348,0.66312,0.517394,0.61463,0.390977,0.55643,0.439178,0.562538,0.370361,0.187992,0.598521,0.42806,0.456833,0.44273,0.0888739,0.530469,0.634155,0.519301,0.711003,0.489421,0.469349,0.78491,0.518272,0.301811,0.48135,0.495375,0.164929,0.387497,0.714458,0.780225,0.672949,0.688097,0.568288,0.228024,0.413735,0.448263,0.161411,0.340143,0.687307,0.662808,0.760571,0.251529,0.474935,0.35513,0.56761,0.281198,0.640852,0.902648,0.329623,0.535836,0.461705,0.537944,0.558456,0.208612,0.449649,0.520085,0.274059,0.622626,0.84344,0.569165,0.375829,0.580509,0.429076,0.402145,0.535988,0.485472,0.494581,0.206434,0.511278,0.594326,0.649313,0.459146,0.599539
6,0.601571,0.716592,0.564516,0.299024,0.380151,0.869238,0.577536,0.536889,0.688353,0.166228,0.706189,0.359028,0.477819,0.524812,0.382225,0.412241,0.634994,0.283371,0.441483,0.603043,0.627787,0.292395,0.23152,0.504363,0.951563,0.243296,0.49403,0.360025,0.512018,0.858234,0.580866,0.084259,0.57534,0.46809,0.601052,0.552459,0.479015,0.360042,0.381206,0.413986,0.506595,0.396081,0.509744,0.71188,0.607082,0.728749,0.590795,0.452443,0.313715,0.512136,0.569366,0.405217,0.618955,0.24023,0.284517,0.943636,0.63593,0.479572,0.623456,0.350947,0.283936,0.235468,0.370931,0.481257,0.76902,0.214553,0.587643,0.374609,0.324108,0.485995,0.359467,0.493355,0.554579,0.514145,0.591436,0.510888,0.694093,0.332667,0.402373,0.393015,0.0470213,0.357506,0.725689,0.275889,0.367785,0.828945,0.268299,0.323821,0.655951,0.332761,0.690021,0.573074,0.700843,0.801107,0.346175,0.478672,0.880006,0.524962,0.368681,0.910502
7,0.593092,0.473388,0.570774,0.283017,0.597044,0.768358,0.521886,0.517362,0.272872,0.509446,0.649027,0.533318,0.548904,0.57416,0.353039,0.460972,0.537912,0.345125,0.150842,0.622982,0.32011,0.410107,0.50485,0.563601,0.924993,0.290969,0.421199,0.47029,0.396266,0.513209,0.325379,0.464969,0.744823,0.111617,0.606927,0.40457,0.389059,0.294807,0.389902,0.505259,0.441774,0.467471,0.247223,0.49835,0.571018,0.480727,0.491173,0.581811,0.643308,0.523537,0.298209,0.213834,0.513711,0.357245,0.790233,0.647617,0.618967,0.48063,0.734621,0.42285,0.150527,0.412133,0.46555,0.240141,0.341265,0.650639,0.395265,0.807914,0.336972,0.444166,0.307043,0.344566,0.243898,0.497468,0.740955,0.281204,0.826967,0.613888,0.661486,0.511233,0.487784,0.478051,0.84015,0.29833,0.626084,0.77788,0.374519,0.560141,0.755228,0.801014,0.455141,0.241222,0.444103,0.408938,0.496294,0.579143,0.749178,0.626238,0.310421,0.843962
8,0.592794,0.626887,0.557388,0.324014,0.480843,0.421168,0.482505,0.56926,0.660841,0.124724,0.543616,0.605204,0.441079,0.68332,0.22538,0.469536,0.762372,0.329409,0.632247,0.657551,0.483799,0.482949,0.239473,0.631714,0.44821,0.390602,0.487744,0.430435,0.820998,0.791666,0.840284,0.546404,0.513458,0.321725,0.769965,0.544109,0.386955,0.455419,0.370191,0.420441,0.516717,0.356726,0.530742,0.673845,0.401803,0.707648,0.565584,0.18273,0.423305,0.474223,0.40578,0.407158,0.422121,-0.000775359,0.127703,0.708701,0.625025,0.364354,0.555705,0.392583,0.293608,0.395748,0.404458,0.394633,0.719493,0.431854,0.524819,0.535634,0.247153,0.478409,0.312771,0.552108,0.480545,0.668747,0.628859,0.530007,0.422772,0.535196,0.508425,0.58049,0.149726,0.438586,0.870318,0.50418,0.466383,0.70531,0.351109,0.50077,0.164571,0.326445,0.767009,0.454917,0.438622,0.614611,0.369091,0.442171,0.499018,0.633924,0.444776,0.630624
9,0.641705,0.609594,0.474318,0.366462,0.614325,0.676983,0.541179,0.475885,0.229359,0.46095,0.209579,0.0356175,0.593937,0.411607,0.589065,0.372481,0.826133,0.469481,0.636109,0.324246,0.432623,0.41875,0.645353,0.513628,0.927944,0.196592,0.513877,0.374158,0.620712,0.734874,0.746328,0.0917412,0.515871,0.153168,0.552557,0.508721,0.337289,0.455081,0.521431,0.531255,0.354505,0.427938,0.203485,0.527393,0.565173,0.364841,0.436603,0.529778,0.606854,0.549097,0.374668,0.310934,0.578367,0.44606,0.342541,0.826117,0.750938,0.639722,0.744209,0.489233,0.137632,0.415787,0.280398,0.177507,0.457043,0.689503,0.440944,0.70381,0.244312,0.264801,0.196475,0.475582,0.244963,0.223982,0.770331,0.616406,0.932938,0.296898,0.548493,0.648765,0.164932,0.440316,0.287548,0.369319,0.605992,0.914857,0.506671,0.368684,0.57972,0.716094,0.371526,0.277801,0.671574,0.567211,0.253235,0.467915,0.80886,0.68891,0.324749,0.742893
