,toybin0000,toybin0001,toybin0002,toybin0003,toybin0004,toybin0005,toybin0006,toybin0007,toybin0008,toybin0009,toybin0010,toybin0011,toybin0012,toybin0013,toybin0014,toybin0015,toybin0016,toybin0017,toybin0018,toybin0019,toybin0020,toybin0021,toybin0022,toybin0023,toybin0024,toybin0025,toybin0026,toybin0027,toybin0028,toybin0029,toybin0030,toybin0031,toybin0032,toybin0033,toybin0034,toybin0035,toybin0036,toybin0037,toybin0038,toybin0039,toybin0040,toybin0041,toybin0042,toybin0043,toybin0044,toybin0045,toybin0046,toybin0047,toybin0048,toybin0049,toybin0050,toybin0051,toybin0052,toybin0053,toybin0054,toybin0055,toybin0056,toybin0057,toybin0058,toybin0059,toybin0060,toybin0061,toybin0062,toybin0063,toybin0064,toybin0065,toybin0066,toybin0067,toybin0068,toybin0069,toybin0070,toybin0071,toybin0072,toybin0073,toybin0074,toybin0075,toybin0076,toybin0077,toybin0078,toybin0079,toybin0080,toybin0081,toybin0082,toybin0083,toybin0084,toybin0085,toybin0086,toybin0087,toybin0088,toybin0089,toybin0090,toybin0091,toybin0092,toybin0093,toybin0094,toybin0095,toybin0096,toybin0097,toybin0098,toybin0099
sigma_median,0.63,0.6,0.57,0.34,0.47,0.64,0.49,0.55,0.47,0.3,0.61,0.34,0.54,0.54,0.34,0.41,0.65,0.42,0.38,0.51,0.5,0.49,0.4,0.51,0.74,0.32,0.49,0.4,0.66,0.68,0.61,0.33,0.68,0.29,0.69,0.48,0.39,0.43,0.41,0.48,0.49,0.37,0.35,0.63,0.61,0.62,0.52,0.39,0.49,0.52,0.44,0.34,0.56,0.29,0.52,0.76,0.73,0.53,0.68,0.38,0.26,0.33,0.33,0.32,0.61,0.49,0.52,0.62,0.34,0.39,0.31,0.45,0.39,0.47,0.7,0.43,0.68,0.42,0.58,0.63,0.31,0.43,0.52,0.31,0.56,0.8,0.46,0.38,0.54,0.61,0.6,0.39,0.49,0.62,0.34,0.52,0.68,0.59,0.39,0.74
mcse,0.002066,0.0020749999999999,0.001668,0.0019625,0.0020534999999999,0.0021329999999999,0.002194,0.0017845,0.0015769999999999,0.0022225,0.0023314999999999,0.002364,0.002224,0.0024964999999999,0.0020109999999999,0.0021595,0.0021464999999999,0.0017045,0.002236,0.001873,0.0017935,0.0019534999999999,0.002119,0.0025295,0.002452,0.0014225,0.0019655,0.0019995,0.0015935,0.002221,0.002063,0.0016355,0.0023029999999999,0.0021035,0.002721,0.001965,0.0020584999999999,0.0026639999999999,0.002185,0.0020739999999999,0.001591,0.0017894999999999,0.0016805,0.00211,0.0018549999999999,0.0021754999999999,0.0020675,0.0022259999999999,0.001721,0.0022449999999999,0.001756,0.0017964999999999,0.0023269999999999,0.001766,0.0019224999999999,0.0019494999999999,0.002484,0.0016639999999999,0.0024694999999999,0.0017884999999999,0.001828,0.0017405,0.002026,0.00203,0.002168,0.0022409999999999,0.0019764999999999,0.001786,0.0020079999999999,0.0022144999999999,0.0023475,0.0026644999999999,0.0014554999999999,0.0021335,0.002302,0.0017669999999999,0.0024125,0.001952,0.002112,0.0019845,0.001861,0.0017564999999999,0.001816,0.0019244999999999,0.0020175,0.0019625,0.0026754999999999,0.0023044999999999,0.0018314999999999,0.0020014999999999,0.001653,0.002146,0.0015765,0.002041,0.0021549999999999,0.0018859999999999,0.002372,0.0021629999999999,0.0020505,0.001762
rhat,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
