,toybin0100,toybin0101,toybin0102,toybin0103,toybin0104,toybin0105,toybin0106,toybin0107,toybin0108,toybin0109,toybin0110,toybin0111,toybin0112,toybin0113,toybin0114,toybin0115,toybin0116,toybin0117,toybin0118,toybin0119,toybin0120,toybin0121,toybin0122,toybin0123,toybin0124,toybin0125,toybin0126,toybin0127,toybin0128,toybin0129,toybin0130,toybin0131,toybin0132,toybin0133,toybin0134,toybin0135,toybin0136,toybin0137,toybin0138,toybin0139,toybin0140,toybin0141,toybin0142,toybin0143,toybin0144,toybin0145,toybin0146,toybin0147,toybin0148,toybin0149,toybin0150,toybin0151,toybin0152,toybin0153,toybin0154,toybin0155,toybin0156,toybin0157,toybin0158,toybin0159,toybin0160,toybin0161,toybin0162,toybin0163,toybin0164,toybin0165,toybin0166,toybin0167,toybin0168,toybin0169,toybin0170,toybin0171,toybin0172,toybin0173,toybin0174,toybin0175,toybin0176,toybin0177,toybin0178,toybin0179,toybin0180,toybin0181,toybin0182,toybin0183,toybin0184,toybin0185,toybin0186,toybin0187,toybin0188,toybin0189,toybin0190,toybin0191,toybin0192,toybin0193,toybin0194,toybin0195,toybin0196,toybin0197,toybin0198,toybin0199
10,0.452827,0.412776,0.769715,0.578432,0.472374,0.626935,0.502393,0.498634,0.432787,0.782728,0.485686,0.379129,0.509295,0.587828,0.507988,0.484157,0.742505,0.18798,0.757731,0.856142,0.55855,0.575137,0.467128,0.380842,0.674142,0.492359,0.212027,0.415723,0.343208,0.413171,0.537239,0.420835,0.707797,0.423572,0.218234,0.601744,0.478116,0.256908,0.694786,0.468594,0.477429,0.449548,0.738227,0.515442,0.558945,0.149449,0.335468,0.746249,0.70272,0.447669,0.517419,0.664386,0.365423,0.253783,0.569991,0.76736,0.683269,0.80761,0.676153,0.369997,0.452162,0.304583,0.715662,0.544613,0.762046,0.312592,0.219594,0.471649,0.344072,0.482686,0.278104,0.340462,0.461631,0.376853,0.640546,0.488067,0.671607,0.351391,0.692549,0.994014,0.375933,0.196409,0.435311,0.146809,0.844118,0.399636,0.382595,0.0573657,0.544749,0.343049,0.274209,0.573067,0.354451,0.538081,0.536729,0.436031,0.255151,0.202435,0.477002,0.306211
11,0.529639,0.778204,0.552368,0.552476,0.615143,0.68923,0.531579,0.0794406,0.520765,0.606212,0.288269,0.428558,0.714363,0.344973,0.466274,0.211931,0.643793,0.102518,0.644386,0.892252,0.495094,0.288673,0.57532,0.294058,0.665781,0.597997,0.329646,0.568448,0.272264,0.619604,0.74681,0.35195,0.467245,0.347279,0.41272,0.66034,0.570831,0.290907,0.59871,0.443848,0.343861,0.46461,0.468904,0.295442,0.361724,0.626163,0.52724,0.503789,0.60974,0.428359,0.692155,0.458753,0.548576,0.0522978,0.639082,0.547929,0.642519,0.245391,0.635351,0.277884,0.253195,0.129979,0.514548,0.613159,0.613308,0.617559,0.18194,0.202621,0.299964,0.368292,0.209012,0.606252,0.358783,0.180421,0.295323,0.665216,0.577339,0.377959,0.57841,0.994159,0.604496,0.543637,0.364509,0.656605,0.432209,0.301577,0.103811,0.406589,0.745067,0.571815,0.531951,0.414308,0.165861,0.597796,0.48685,0.578174,0.409888,0.216853,0.481722,0.584065
12,0.480089,0.832153,0.721892,0.78568,0.422051,0.732869,0.532881,0.528587,0.449632,0.539541,0.442019,0.613814,0.507778,0.529295,0.306177,0.552198,0.407579,0.187997,0.801564,0.962463,0.456155,0.457693,0.490476,0.357138,0.405515,0.548299,0.332679,0.538827,0.270375,0.280907,0.664444,0.566499,0.742092,0.645297,0.380156,0.613328,0.454658,0.228544,0.648185,0.265738,0.533739,0.421224,0.736757,0.668508,0.553642,0.401709,0.231013,0.65449,0.743606,0.3517,0.446667,0.41003,0.611334,0.310959,0.551319,0.787534,0.563036,0.388247,0.452472,0.397478,0.348018,0.157075,0.648488,0.593232,0.72502,0.503127,0.216436,0.234745,0.267535,0.499493,0.473717,0.326663,0.401381,0.180639,0.615595,0.646274,0.482808,0.509447,0.640826,0.485366,0.4229,0.263271,0.517107,0.321007,0.905752,0.128284,0.327385,0.276346,0.689881,0.480644,0.351479,0.612174,0.458627,0.465905,0.411366,0.456613,0.613368,0.626778,0.592509,0.361101
13,0.664571,0.401811,0.6511,0.569569,0.787493,0.702503,0.53849,0.0961077,0.510114,0.530251,0.537715,0.576916,0.662665,0.393543,0.352579,0.51624,0.504618,0.0576119,0.726404,0.956863,0.540455,0.602262,0.571847,0.27776,0.645544,0.60981,0.301446,0.743353,0.259623,0.660935,0.572034,0.434606,0.794751,0.481738,0.300042,0.427686,0.630349,0.351,0.612622,0.285447,0.653005,0.542738,0.702401,0.428586,0.452014,0.385873,0.139919,0.573932,0.689069,0.535075,0.680255,0.405453,0.576993,0.241832,0.565904,0.720805,0.81883,0.603387,0.492006,0.431113,0.559578,0.251001,0.642028,0.811923,0.741545,0.460189,0.308541,0.663192,0.347706,0.165275,0.386299,0.351795,0.430902,0.247041,0.322946,0.583055,0.633761,0.503408,0.591607,0.766879,0.60026,0.47282,0.550158,0.401306,0.588881,0.334929,0.177362,0.246849,0.688231,0.51784,0.573052,0.582726,0.401824,0.639822,0.563225,0.636426,0.693419,0.258901,0.441255,0.484082
14,0.555524,0.632729,0.637223,0.681764,0.595913,0.691732,0.677934,0.153923,0.389399,0.638515,0.489006,0.679457,0.563151,0.433182,0.378604,0.35755,0.436628,0.362162,0.694794,0.990587,0.519358,0.265078,0.501405,0.329671,0.46697,0.684074,0.259256,0.331619,0.239362,0.669314,0.683118,0.663033,0.719005,0.311959,0.382981,0.668924,0.343811,0.20615,0.744253,0.518674,0.452975,0.541474,0.446107,0.475591,0.571341,0.299568,0.43319,0.65724,0.504489,0.318974,0.517354,0.713664,0.396969,0.128276,0.613971,0.748887,0.551539,0.416769,0.642568,0.528849,0.534034,0.115166,0.6925,0.795298,0.679871,0.621249,0.163169,0.250301,0.287777,0.635848,0.646195,0.687309,0.234315,0.167964,0.371926,0.566719,0.641782,0.401095,0.545187,0.764322,0.719643,0.461737,0.43294,0.290245,0.59538,0.335631,0.243729,0.33353,0.565073,0.439244,0.549582,0.440808,0.0632639,0.397463,0.565437,0.382228,0.218414,0.426132,0.415485,0.55963
15,0.554119,0.650596,0.474086,0.753201,0.417591,0.55199,0.71104,0.298587,0.501856,0.573695,0.311787,0.668999,0.700184,0.480987,0.233223,0.514504,0.461145,0.0100785,0.83345,0.983329,0.505671,0.49648,0.606267,0.181016,0.217523,0.472226,0.269677,0.713686,0.381413,0.344878,0.599417,0.316073,0.838415,0.372979,0.294815,0.521074,0.617582,0.460391,0.681986,0.292309,0.477969,0.348769,0.67869,0.386451,0.356002,0.500313,0.306734,0.473924,0.942504,0.357597,0.729445,0.603805,0.662141,0.185616,0.631503,0.621643,0.657181,0.64328,0.544648,0.143158,0.397052,0.115166,0.855574,0.627889,0.822851,0.541464,0.146409,0.334547,0.327784,0.221759,0.0664135,0.188303,0.495579,0.370574,0.45985,0.627428,0.380716,0.540796,0.746551,0.771733,0.595523,0.251026,0.650892,0.449595,0.620395,0.252033,0.146563,0.105894,0.82294,0.47253,0.332884,0.554524,0.394846,0.583973,0.523749,0.596078,0.594492,0.578941,0.575114,0.480028
16,0.510869,0.550488,0.698123,0.611873,0.33488,0.821861,0.427567,0.307407,0.762576,0.569992,0.252312,0.737206,0.351658,0.382057,0.200699,0.487273,0.554685,0.226046,0.580441,0.975054,0.465035,0.322348,0.649332,0.190262,0.18058,0.656826,0.252499,0.56845,0.234061,0.429281,0.510981,0.335047,0.821451,0.345124,0.369066,0.582898,0.398549,0.200878,0.683421,0.23457,0.507183,0.641375,0.431175,0.414511,0.532328,0.308945,0.321001,0.509327,0.763247,0.628921,0.491065,0.666189,0.261218,0.26817,0.451488,0.700325,0.550564,0.469258,0.595191,0.759193,0.369325,0.324099,0.991247,0.621109,0.568573,0.444112,0.408244,0.530039,0.294813,0.569391,0.494053,0.686156,0.35852,0.347233,0.531101,0.496645,0.680947,0.567403,0.588552,0.769009,0.466489,0.536466,0.409503,0.252514,0.609705,0.260802,0.113525,0.368932,0.644503,0.374018,0.209196,0.342052,0.319559,0.5921,0.778753,0.585962,0.448967,0.634819,0.399644,0.457628
17,0.424543,0.51017,0.575639,0.557196,0.540465,0.59721,0.56927,0.252809,0.427033,0.611512,0.468341,0.27884,0.784188,0.47743,0.411381,0.320747,0.546886,0.0110323,0.458912,0.667729,0.676136,0.322962,0.584378,0.31691,0.603197,0.503926,0.302221,0.513386,0.19522,0.593826,0.73509,0.24646,0.736716,0.412859,0.202975,0.66583,0.583351,0.414607,0.655096,0.54867,0.309028,0.337715,0.628408,0.347976,0.345643,0.507531,0.451222,0.505338,0.64309,0.24709,0.675208,0.519645,0.60631,0.0752995,0.563549,0.564576,0.821594,0.454839,0.508969,-0.0246353,0.505281,0.12674,0.960145,0.821026,0.60277,0.306125,0.438421,0.223756,0.447732,0.532443,0.285268,0.247541,0.362238,0.280459,0.432392,0.492671,0.399136,0.349909,0.793393,0.727589,0.475181,0.254714,0.649807,0.543973,0.591044,0.182834,0.175257,0.317311,0.756137,0.473731,0.441007,0.532604,0.146145,0.477008,0.164214,0.441618,0.361806,0.506102,0.617524,0.518797
18,0.480034,0.626886,0.737613,0.689762,0.706322,0.724665,0.683573,0.373077,0.593853,0.622346,0.587547,0.650193,0.810135,0.479896,0.41527,0.77507,0.683168,0.205881,0.951759,0.678226,0.356225,0.436588,0.607014,0.204107,0.300381,0.4658,0.132148,0.529615,0.36675,0.49156,0.648188,0.678914,0.387032,0.59098,0.162958,0.650049,0.502574,0.154664,0.660843,0.294711,0.630489,0.491729,0.504813,0.512799,0.579081,0.26203,0.415403,0.46147,0.629193,0.626619,0.480118,0.765283,0.412675,0.0556183,0.455729,0.642865,0.497713,0.453579,0.57288,0.659635,0.516408,0.233474,0.891998,0.76731,0.701226,0.714053,0.0338058,0.460179,0.338089,0.233873,0.423515,0.577852,0.408033,0.365603,0.520786,0.629041,0.87955,0.573543,0.60702,0.603459,0.63891,0.506897,0.652329,0.207345,0.631093,0.318378,0.222121,0.250352,0.610793,0.587523,0.412824,0.380329,0.383401,0.560433,0.774496,0.665346,0.58892,0.315437,0.651458,0.390987
19,0.565737,0.728008,0.410648,0.563822,0.743621,0.70362,0.322033,0.438142,0.729157,0.509135,0.422232,0.604608,0.320545,0.48135,0.205085,0.689485,0.419257,0.0190044,0.792295,0.548951,0.675144,0.531438,0.663395,0.193552,0.671122,0.525629,0.421821,0.420763,0.268229,0.50841,0.745084,0.215011,0.645658,0.57664,0.457061,0.630529,0.599031,0.332865,0.631508,0.441072,0.387147,0.427214,0.392954,0.467765,0.472814,0.443012,0.421674,0.539959,0.668299,0.558885,0.608459,0.629832,0.589723,0.320763,0.726052,0.794331,0.447775,0.62985,0.670373,0.389253,0.467612,0.154904,0.429359,0.668304,0.565684,0.338901,0.179136,0.298305,0.173425,0.587982,0.56998,0.257077,0.350677,0.17791,0.60677,0.470212,0.167776,0.540117,0.617987,0.870822,0.557527,0.430061,0.365229,0.262257,0.77909,0.207566,0.125108,0.330907,0.817023,0.248479,0.239495,0.569505,0.547167,0.474939,0.361366,0.519336,0.426307,0.509503,0.536241,0.402626
