name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
lp__,21.0,0.036,3.0,15.0,21.0,25.0,7300.0,2.1,1.0
sigma,0.68,0.00075,0.12,0.48,0.68,0.87,25000.0,7.2,1.0
a[1],-0.018,7.2e-05,0.016,-0.043,-0.018,0.0085,48612.0,14.0,1.0
a[2],0.019,7.2e-05,0.016,-0.0071,0.019,0.045,48787.0,14.0,1.0
a[3],-0.00034,7.5e-05,0.016,-0.027,-0.00029,0.026,44137.0,13.0,1.0
a[4],0.022,7e-05,0.016,-0.0049,0.022,0.048,52746.0,15.0,1.0
b[1],-0.019,7.6e-05,0.016,-0.045,-0.019,0.0075,44542.0,13.0,1.0
b[2],0.017,7.6e-05,0.016,-0.01,0.017,0.043,44917.0,13.0,1.0
b[3],0.019,7.2e-05,0.016,-0.0065,0.019,0.046,48428.0,14.0,1.0
b[4],0.0061,7.1e-05,0.016,-0.02,0.0061,0.033,50118.0,15.0,1.0
sigma_bkg,0.33,0.0,0.14,0.11,0.33,0.55,44354.3,12.85,1.0
a_bkg[1],0.038,8.3e-05,0.018,0.0072,0.038,0.068,48794.0,14.0,1.0
a_bkg[2],-0.018,8.3e-05,0.019,-0.049,-0.018,0.012,50806.0,15.0,1.0
a_bkg[3],0.016,8.5e-05,0.018,-0.013,0.016,0.047,46448.0,13.0,1.0
a_bkg[4],-0.013,8.4e-05,0.019,-0.044,-0.013,0.018,48682.0,14.0,1.0
b_bkg[1],-0.022,8.3e-05,0.018,-0.052,-0.022,0.008,48119.0,14.0,1.0
b_bkg[2],0.027,8.7e-05,0.018,-0.0028,0.027,0.057,45137.0,13.0,1.0
b_bkg[3],0.04,8.2e-05,0.018,0.0098,0.04,0.07,50039.0,15.0,1.0
b_bkg[4],-0.0047,8.6e-05,0.019,-0.035,-0.0047,0.026,46699.0,14.0,1.0
