	toybin0000ytilde00	toybin0000ytilde01	toybin0000ytilde02	toybin0000ytilde03	toybin0000ytilde04	toybin0000ytilde05	toybin0000ytilde06	toybin0000ytilde07	toybin0000ytilde08	toybin0000ytilde09	toybin0000ytilde10	toybin0000ytilde11	toybin0001ytilde00	toybin0001ytilde01	toybin0001ytilde02	toybin0001ytilde03	toybin0001ytilde04	toybin0001ytilde05	toybin0001ytilde06	toybin0001ytilde07	toybin0001ytilde08	toybin0001ytilde09	toybin0001ytilde10	toybin0001ytilde11	toybin0002ytilde00	toybin0002ytilde01	toybin0002ytilde02	toybin0002ytilde03	toybin0002ytilde04	toybin0002ytilde05	toybin0002ytilde06	toybin0002ytilde07	toybin0002ytilde08	toybin0002ytilde09	toybin0002ytilde10	toybin0002ytilde11	toybin0003ytilde00	toybin0003ytilde01	toybin0003ytilde02	toybin0003ytilde03	toybin0003ytilde04	toybin0003ytilde05	toybin0003ytilde06	toybin0003ytilde07	toybin0003ytilde08	toybin0003ytilde09	toybin0003ytilde10	toybin0003ytilde11	toybin0004ytilde00	toybin0004ytilde01	toybin0004ytilde02	toybin0004ytilde03	toybin0004ytilde04	toybin0004ytilde05	toybin0004ytilde06	toybin0004ytilde07	toybin0004ytilde08	toybin0004ytilde09	toybin0004ytilde10	toybin0004ytilde11	toybin0005ytilde00	toybin0005ytilde01	toybin0005ytilde02	toybin0005ytilde03	toybin0005ytilde04	toybin0005ytilde05	toybin0005ytilde06	toybin0005ytilde07	toybin0005ytilde08	toybin0005ytilde09	toybin0005ytilde10	toybin0005ytilde11
10	-0.277532	-0.445041	-0.488504	0.555491	0.0616152	0.254719	-0.258237	-0.281309	-0.231241	0.15995	0.799614	0.162286	0.0997225	-0.451863	-0.142948	-0.0617374	0.440503	0.18137	-0.257614	-0.111267	-0.204671	0.250139	0.372182	0.263946	-0.231855	-0.799065	-0.316486	0.0644386	0.548851	0.112668	-0.219854	-0.799041	-0.583052	0.408672	0.684035	-0.0760822	0.338846	-0.489377	-0.244959	-0.00716132	0.173822	0.0135108	-0.167042	-0.081955	-0.710233	-0.0178635	0.1973	0.167419	-0.294557	-0.414915	-0.297845	0.42636	0.635658	-0.292149	-0.118866	-0.587028	-0.284013	-0.112129	1.05391	0.773364	-0.380086	-0.522008	-0.774004	0.127223	0.559298	0.00554559	-0.116472	-0.470518	-0.297782	-0.0360421	0.0236569	0.0208257
11	0.0557367	-0.472089	-0.372833	0.00154995	0.467272	0.428013	-0.684918	-0.276674	-0.46524	-0.0834828	0.606069	0.03206	-0.0384149	-0.50366	0.0398793	0.213527	0.1356	-0.0490598	-0.0581976	0.0274737	-0.714309	-0.217191	0.125273	-0.192045	-0.567303	-0.36016	-0.26511	0.484532	-0.019248	0.165336	-0.302391	-0.790337	0.0153721	0.197217	0.912325	0.260774	-0.169154	-0.520069	-0.1534	0.215417	0.476017	0.0716386	-0.363284	-0.061161	-0.198786	0.782958	0.100134	0.386251	-0.275991	-0.967609	-0.85053	0.486999	0.166107	0.587814	-0.36903	-0.975586	0.0984088	0.0421411	0.485186	-0.0111399	0.289205	-0.364655	-0.164707	0.18306	0.436988	0.158756	0.126884	-0.663788	0.0025145	0.167899	0.135743	0.475996
12	-0.467192	-0.677292	0.246224	0.0564625	0.507692	0.696358	0.519425	-0.272917	-0.172848	-0.0332292	0.237219	0.000358706	0.13651	-0.120292	-0.0251953	0.0917026	0.341009	-0.0641329	-0.151028	-0.239788	-0.233092	-0.0450378	0.390656	0.0600497	-0.117414	-0.770401	-0.217709	0.401711	0.670606	0.484301	-0.812953	-0.402098	-0.808855	-0.180653	0.693432	0.99779	-0.838255	0.0567019	0.0373933	0.416398	0.635824	0.225968	-0.572082	-0.346003	-0.126348	0.680271	0.292813	-0.0501543	-0.395069	-0.226999	-0.377934	0.268833	0.383959	0.183173	-0.0697545	-0.462843	-0.187467	0.445189	0.382416	0.520825	0.178299	-0.476774	-0.32301	0.0194046	0.512276	-0.0306049	-0.111503	-0.639084	-0.321766	-0.291348	-0.0757545	-0.189064
13	-0.164987	-0.0587999	-0.345695	-0.126756	0.301962	-0.436243	-0.163029	-0.038314	-0.273459	-0.215671	0.33571	0.0670516	0.0372593	-0.704381	-0.117263	0.260754	0.293123	0.362085	-0.00989274	-0.790093	-0.308549	0.0541006	0.178464	0.0143311	-0.828067	0.147119	-0.104187	0.310287	0.164906	0.259992	-0.24673	-0.777041	0.115615	0.169026	0.237659	0.249829	0.336261	-0.382001	-0.41	0.457981	0.466149	0.391773	0.168026	0.0210555	-0.584573	0.262315	0.409077	-0.147708	-0.300186	-0.311208	-0.552379	0.125584	0.664486	0.234282	-0.522606	0.00755493	0.000326703	0.103349	0.521035	0.390135	-0.875064	-0.521933	-0.53355	0.321902	0.107909	0.625536	-0.250825	-0.735642	-0.00617818	0.606088	0.384192	0.517895
14	-0.373845	-0.606422	-0.32254	0.158154	0.690063	0.40402	-0.322704	-0.104088	0.184383	0.175948	0.14353	0.0350136	-0.67754	-0.611237	-0.0890769	0.0030166	-0.0708739	0.380257	-0.113621	-0.34497	0.186908	0.084062	0.597476	0.0575063	-0.048607	-0.121255	-0.197986	0.31763	0.287238	0.139749	-0.641842	-0.752651	0.311423	-0.321824	0.581355	0.419244	0.0203433	0.154785	-0.166231	-0.0929264	0.160693	0.197036	-0.358404	-0.0163138	-0.402451	0.55563	0.454539	0.11743	-0.539912	-0.571735	-0.191138	0.191136	0.72509	0.00511236	-0.50512	-0.372863	-0.560145	0.400729	0.815449	-0.236671	-0.515353	-0.408862	-0.325378	0.326713	0.845585	0.546	0.0675942	0.0567942	0.0293743	0.625571	0.667186	0.350232
15	0.0166283	-1.19301	-0.476712	0.428538	0.583552	0.501049	-0.0175556	-0.528294	-0.254009	0.143808	0.735373	0.530051	-0.306868	-0.473031	-0.113105	-0.596473	0.355817	0.272712	-0.0477942	-0.472556	-0.104304	0.336122	0.302406	0.28524	0.460915	-0.402034	-0.131797	0.465643	0.568959	0.0868204	-0.405741	-0.346836	-0.106475	0.35403	0.514017	0.308832	-0.291257	-0.317127	-0.393807	0.123448	0.531529	0.178184	0.00857194	-0.622039	-0.00255874	-0.0702025	1.05591	0.684753	-0.55493	-0.854333	-0.330114	0.45477	1.10004	0.202183	-0.213416	-0.713948	-0.860017	0.483653	0.549173	0.206838	-0.205979	-0.178864	-0.230977	0.0389019	0.448074	0.644607	0.0888571	-0.864718	-0.499992	-0.299725	0.238433	0.547983
16	-0.15259	-0.55796	-0.511523	0.315335	0.463394	0.119612	-0.0109376	-0.159075	-0.134855	0.13093	0.674145	0.606677	-0.101452	-0.358915	0.351194	0.745561	0.410937	0.50869	-0.51761	-0.51259	-0.251343	-0.119141	0.428055	0.358974	-0.0299968	-0.381679	0.180266	-0.0747222	0.23354	-0.0451616	-0.760693	-0.497838	-0.286565	0.563731	0.177387	-0.404379	-0.339339	-0.377213	-0.118945	-0.0528392	0.343996	0.713418	-0.25412	-0.697745	-0.034628	-0.194348	0.076564	-0.466761	-0.269626	-0.392363	-0.169662	0.605057	0.426927	0.44053	0.158151	-0.957265	-0.561157	0.332896	1.02466	0.322626	-0.197201	-0.414269	-0.201696	-0.170923	0.541813	0.235815	-0.231975	0.483614	-0.356534	-0.143747	0.468622	-0.16647
17	-0.01732	-0.694003	-0.261882	0.0154466	0.623704	0.682952	-0.545842	-0.746839	-0.300384	0.579703	0.54525	0.166689	-0.218048	-0.277001	0.383676	0.665813	0.165607	0.296677	-0.474331	-0.47358	-0.305868	0.166288	0.489355	0.240657	-0.44264	-0.753699	-0.394596	0.142643	0.63737	0.021751	-0.0218954	-0.475218	-0.760212	-0.148395	0.743299	0.344514	-0.0124572	0.583823	-0.228817	-0.0976625	0.204459	-0.299708	0.390172	-0.163682	-0.068566	0.451066	0.141253	0.12833	-0.517623	-0.860834	-0.527381	0.597239	0.359283	0.148321	-0.920082	-1.42286	-0.0152853	-0.107576	0.486462	0.163235	-0.0869162	-0.68232	-0.357083	0.233748	0.0993855	0.14339	0.119336	-1.16434	-0.696955	-0.162131	0.108184	0.113627
18	-0.366549	-0.386779	-0.243177	-0.409523	0.769357	0.236779	-0.257622	-0.483784	-0.219766	0.189626	0.640826	0.374385	-0.0608743	-0.721473	-0.705064	0.468392	0.133162	0.465274	-0.201195	-0.622814	-0.149393	0.0947203	0.593259	0.712271	-0.375164	-0.634902	0.122787	0.266511	0.864872	0.790493	-0.337584	-0.465407	0.0137748	0.324839	0.171967	0.156487	0.152542	-0.862326	0.42008	0.158156	0.0351596	-0.0589327	-0.028321	0.433098	0.0346072	0.295108	-0.440851	0.123938	-0.129688	-0.692624	-0.517922	0.225974	1.04393	0.790465	-0.886963	-0.564723	-0.241157	0.413564	0.858849	0.343484	-0.351771	-0.253864	-0.283374	0.757974	0.478319	0.578441	0.0111473	-0.434663	-0.393984	0.433077	0.21037	0.0265937
19	-0.436853	0.0015083	0.0629107	-0.123282	0.423453	0.304124	-0.624987	0.0820379	-0.337665	-0.152903	0.417951	0.310567	0.0348175	-0.744205	0.0385113	-0.226757	0.7108	0.543389	0.0774948	-1.0083	-0.103084	0.0493893	0.110659	-0.179586	0.0411856	-0.742602	-0.142249	0.530301	0.71693	0.231866	-0.148181	-0.180713	-0.261892	0.535628	0.41832	0.236912	0.122079	-0.250658	-0.396521	-0.0353971	-0.296809	0.244919	-0.217846	-0.145259	-0.0112032	-0.216331	0.0894619	0.0629419	-0.467694	-0.305791	0.228762	0.337996	0.713359	0.046442	-0.318728	-0.438312	-0.443869	0.650045	0.356888	-0.213366	0.305564	-0.572258	-0.34811	0.259866	0.380134	0.724423	-0.17264	-0.426021	-0.134404	0.0526738	0.529484	0.338395
20	-0.142335	-0.807695	0.0500628	0.548664	0.281429	0.562904	-0.0550458	-0.0427995	-0.723267	0.56503	0.79678	-0.148697	0.337119	0.0626228	0.0418694	0.652469	0.330135	0.130463	-0.204732	-0.290596	-0.103821	0.0269255	0.180358	-0.176248	-0.631477	-0.524554	-0.11884	0.0691903	0.637954	0.33786	0.258291	-0.127399	-0.341351	0.0908559	0.35653	0.734629	-0.355104	-0.1314	0.180539	-0.198474	-0.323172	0.373121	0.550421	-0.421431	0.0107874	-0.0105312	0.443348	-0.244981	-0.357607	-0.779835	-0.145513	0.27805	0.953611	0.515634	-0.517704	-0.751936	-0.414383	0.0661826	0.548197	0.421802	-0.288524	-0.206456	-0.137056	0.796862	0.713398	0.559665	0.159017	0.39559	0.0997565	0.0707902	0.76632	-0.183068
21	-0.700641	-0.50804	-0.110065	0.243127	0.567501	0.301532	-0.541139	-0.745521	0.229893	0.880382	0.731749	-0.0400564	0.440573	-0.333818	0.0108637	-0.0598186	0.706873	-0.102906	0.0975812	-0.168997	-0.810221	-0.165757	0.233094	0.107737	-0.177991	-0.71571	-0.145816	-0.0408258	0.022684	0.46726	-0.00633703	-0.599829	-0.456344	0.698873	0.173159	-0.0107162	-0.00289136	0.252222	0.231569	-0.391063	-0.0832861	-0.21906	0.384318	0.294374	-0.401899	0.233076	0.613762	0.430705	-0.375526	-0.827958	-0.13232	-0.297357	0.568701	0.46303	-0.433487	-0.508606	0.0322483	0.367307	0.455525	0.214302	-0.518068	-0.122812	-0.350021	0.0161494	0.510927	0.862327	-0.185314	-0.509754	-0.471743	-0.103738	0.31779	-0.386614
22	-0.419593	-0.0608627	0.133109	0.15277	0.8645	0.533042	0.202207	-0.583124	-0.497881	-0.0214922	0.00700406	0.575508	-0.452132	-0.399074	-0.194707	-0.145361	-0.225136	-0.206375	0.116188	-0.325201	-0.142576	0.572403	0.600457	-0.0683868	0.151101	-0.390667	-0.250676	0.0386653	1.14823	0.180468	-0.242201	-0.424662	-0.269931	0.404651	0.762538	0.36907	-0.0141953	-0.288445	0.512279	0.137598	0.233789	-0.237683	-0.223043	-0.473818	-0.976535	0.0330332	0.498111	-0.0699635	-0.0604174	-0.519526	-0.295252	0.591187	0.266573	0.663093	-0.248878	-0.464153	-0.280776	0.21904	0.35977	0.529678	-0.278247	-0.683443	-0.504205	-0.108027	0.587514	0.0292496	-0.221425	-0.658663	0.268081	0.630718	0.367846	0.312234
23	-0.528937	-0.608734	0.219112	0.0736581	0.40768	-0.0437843	0.43633	-0.532184	-0.257468	0.870064	0.836187	0.288737	-0.540097	-0.491749	-0.317116	0.425615	0.654374	-0.274777	-0.362913	-0.654203	-0.393096	0.196008	0.416852	-0.0129082	-0.392769	-0.782396	-0.169559	0.25507	0.631633	0.647016	-0.0485145	-1.10883	0.278772	0.618524	0.398329	0.780535	-0.75284	-0.631016	-0.529359	0.306343	0.43651	0.392567	-0.463711	-0.715846	-0.243082	0.413714	0.485063	0.772203	-0.572708	-0.530921	-0.626553	0.183915	0.75876	0.265423	-0.118467	-0.981736	-0.205193	0.315317	0.648909	0.00214088	-0.797918	-0.783116	-1.14844	0.144957	1.22361	0.5044	-0.321433	-0.402522	-0.411447	0.256772	0.944175	0.246816
