,toybin0000
455,0.475242
456,0.471489
457,0.452413
458,0.450073
459,0.544703
460,0.400796
461,0.487472
462,0.487377
463,0.385703
464,0.434168
465,0.268332
466,0.290598
467,0.302043
468,0.302043
469,0.270781
470,0.270781
471,0.535303
472,0.559303
473,0.440282
474,0.478091
475,0.349017
476,0.309968
477,0.433257
478,0.334877
479,0.526562
480,0.346823
481,0.406217
482,0.312922
483,0.423995
484,0.364587
485,0.445188
486,0.449577
487,0.455895
488,0.397368
489,0.418075
490,0.507742
491,0.417144
492,0.263178
493,0.407781
494,0.532709
495,0.500346
496,0.414986
497,0.341307
498,0.339294
499,0.430582
500,0.443895
501,0.388088
502,0.253399
503,0.46322
504,0.390288
505,0.46529
506,0.660039
507,0.643154
508,0.675091
509,0.68441
510,0.609491
511,0.586299
512,0.54325
513,0.531608
514,0.543746
515,0.530419
516,0.537408
517,0.57912
518,0.586591
519,0.551852
520,0.561495
521,0.603025
522,0.450527
523,0.451251
524,0.40869
525,0.311743
526,0.624234
527,0.642781
528,0.618964
529,0.115343
530,0.259159
531,0.317923
532,0.317923
533,0.45942
534,0.368142
535,0.35262
536,0.497506
537,0.581366
538,0.428142
539,0.353747
540,0.416132
541,0.391746
542,0.529667
543,0.349141
544,0.60924
545,0.616009
546,0.58539
547,0.598508
548,0.521751
549,0.559998
550,0.393173
551,0.433564
552,0.502997
553,0.340185
554,0.333869
555,0.47353
556,0.263132
557,0.310899
558,0.421916
559,0.428736
560,0.484455
561,0.474562
562,0.358548
563,0.331562
564,0.350486
565,0.640093
566,0.127512
567,0.117366
568,0.589757
569,0.563762
570,0.56409
571,0.578077
572,0.563321
573,0.575747
574,0.230142
575,0.232664
576,0.553511
577,0.367112
578,0.477002
579,0.471831
580,0.293853
581,0.378076
582,0.408336
583,0.558756
584,0.210442
585,0.314907
586,0.330137
587,0.307946
588,0.503039
589,0.512533
590,0.524809
591,0.508502
592,0.380134
593,0.427409
594,0.476006
595,0.460468
596,0.379912
597,0.390896
598,0.446213
599,0.439395
600,0.453022
601,0.371556
602,0.519653
603,0.515299
604,0.527302
605,0.535274
606,0.246737
607,0.542276
608,0.501087
609,0.378689
610,0.488826
611,0.426969
612,0.540839
613,0.535423
614,0.55602
615,0.56995
616,0.600186
617,0.346533
618,0.320804
619,0.453958
620,0.475688
621,0.485663
622,0.569954
623,0.558612
624,0.440601
625,0.36375
626,0.444285
627,0.371629
628,0.419565
629,0.530997
630,0.300685
631,0.329102
632,0.607527
633,0.464947
634,0.526638
635,0.461345
636,0.304668
637,0.416418
638,0.416418
639,0.502868
640,0.329822
641,0.439808
642,0.478359
643,0.489888
644,0.258609
645,0.411738
646,0.461757
647,0.453213
648,0.377148
649,0.471909
650,0.473797
651,0.390576
652,0.539005
653,0.493932
654,0.431407
655,0.370359
656,0.409761
657,0.525491
658,0.370518
659,0.35118
660,0.321473
661,0.349838
662,0.425101
663,0.669136
664,0.678446
665,0.444366
666,0.457891
667,0.608895
668,0.414881
669,0.536985
670,0.444538
671,0.640233
672,0.568491
673,0.582904
674,0.462048
675,0.405703
676,0.425777
677,0.409855
678,0.526055
679,0.515581
680,0.396383
681,0.425768
682,0.302018
683,0.276068
684,0.276068
685,0.240946
686,0.207741
687,0.415405
688,0.538497
689,0.25443
690,0.289645
691,0.266725
692,0.315637
693,0.34858
694,0.496415
695,0.303958
696,0.259771
697,0.432806
698,0.436677
699,0.556824
700,0.555062
701,0.529775
702,0.523095
703,0.539954
704,0.553528
705,0.198983
706,0.300102
707,0.258574
708,0.19918
709,0.262375
710,0.420113
711,0.381226
712,0.290463
713,0.353218
714,0.367176
715,0.370678
716,0.417825
717,0.358702
718,0.408066
719,0.397924
720,0.371938
721,0.450051
722,0.389421
723,0.434322
724,0.129145
725,0.142037
726,0.37712
727,0.394152
728,0.284676
729,0.258216
730,0.48025
731,0.448761
732,0.401121
733,0.391041
734,0.519707
735,0.409081
736,0.362359
737,0.308289
738,0.329292
