ebeam,costheta,I_c,I_c_err
1550,-0.833333,0.08427806270784743,0.031403713750371764
1550,-0.5,0.046000792587339356,0.025255335059878092
1550,-0.166667,0.0689317505679734,0.026417479999424565
1550,0.166667,0.07547388319579307,0.02743907368707521
1550,0.5,0.18272338697076718,0.027344871713785857
1550,0.833333,0.12054983302894229,0.03337149126568506
1650,-0.833333,0.05606829464420615,0.03035521937422725
1650,-0.5,0.056837245183195995,0.025500388935860818
1650,-0.166667,-0.006692073681117017,0.027035156289299533
1650,0.166667,0.02405803055036193,0.027809144999175972
1650,0.5,0.12120950765212735,0.02784852603109733
1650,0.833333,0.11219145746501757,0.03228826885386249
1750,-0.833333,-0.056236995093525644,0.04665003154325115
1750,-0.5,0.04299329578054012,0.040228057707076714
1750,-0.166667,0.10389048530776712,0.0414174088925946
1750,0.166667,0.018373759978382198,0.04337554995437948
1750,0.5,0.05160646545613523,0.04318934851405298
1750,0.833333,0.1560057162580728,0.04677030557383921
