pol	phi	weight
-0.352187	-95.8995	-0.0666667
0.354939	-98.1523	1
-0.349455	-113.256	-0.0380952
-0.349455	-117.528	1
-0.343501	-119.18	-0.047619
-0.348013	-119.18	-0.047619
0.344587	55.4692	-0.047619
0.345966	-23.537	1
0.354612	173.623	-0.047619
-0.359026	-165.53	-0.047619
-0.358658	-109.933	1
-0.358522	-110.506	1
0.349729	-57.8469	1
0.334113	-57.8469	-0.0714286
-0.359926	-133.175	-0.047619
0.34024	-2.04675	1
-0.346534	160.677	1
0.350845	-10.4138	-0.047619
0.354673	-10.4138	1
-0.35964	142.498	1
-0.358658	142.498	-0.0714286
-0.343501	-42.3898	-0.047619
0.354174	83.5936	1
0.352748	-84.1609	1
-0.355837	166.71	-0.047619
-0.358658	-132.454	1
0.354174	-150.139	-0.047619
-0.359881	-140.8	1
-0.352187	-140.8	-0.047619
0.338734	-14.6061	-0.0666667
0.337209	169.845	1
0.334113	-18.4599	-0.047619
0.34024	15.3424	1
0.354174	114.077	1
0.352748	114.077	-0.047619
0.348524	29.5735	-0.047619
-0.353474	84.0736	-0.047619
-0.359173	167.261	-0.0380952
0.343172	93.0642	-0.0714286
0.350845	-85.9473	-0.0714286
0.350845	23.1819	-0.047619
-0.359197	154.519	1
-0.349455	140.523	1
-0.350847	140.523	-0.047619
-0.35624	-82.9668	-0.047619
-0.359926	-82.9668	-0.047619
0.348539	66.033	-0.0714286
-0.359763	-72.4578	-0.0380952
-0.345031	-94.3372	1
-0.349455	103.713	-0.047619
-0.357611	-111.818	1
-0.350847	-111.818	-0.0380952
-0.353474	75.381	1
-0.35624	-71.6442	1
-0.348013	-71.6442	-0.0666667
0.343172	-36.9803	1
0.350845	44.9882	1
-0.358658	3.36353	1
-0.359763	3.36353	-0.0380952
-0.359173	-86.2561	-0.047619
-0.356842	-125.439	1
0.354947	128.129	1
0.338734	-50.7634	-0.047619
-0.358658	80.2253	-0.047619
-0.357741	80.2253	-0.047619
0.352748	-140.218	1
-0.358522	147.732	1
0.345966	154.807	-0.047619
-0.354693	-151.267	1
-0.353474	-83.0328	1
0.335665	103.44	-0.047619
-0.357611	112.856	1
0.345966	83.5697	1
0.338734	83.5697	-0.0380952
0.353526	33.6693	-0.047619
-0.345031	-104.29	-0.047619
-0.352468	-41.0348	1
0.354174	-5.86964	-0.047619
0.337209	-5.86964	1
0.354932	28.2313	-0.047619
0.343172	28.2313	-0.047619
0.343172	-63.7884	1
-0.353474	90.468	1
-0.352468	79.0718	1
-0.342438	124.014	1
-0.357502	124.014	-0.047619
0.351405	92.3007	-0.0380952
-0.34658	-143.307	-0.047619
-0.354963	18.6554	1
-0.360877	88.0466	-0.0380952
-0.363836	123.636	-0.0714286
-0.358729	123.636	-0.0714286
-0.356217	110.622	1
0.357369	74.5923	-0.047619
0.357135	74.5923	-0.047619
0.351405	139.18	1
0.346078	-152.674	-0.047619
0.343139	30.1638	1
-0.354869	-87.4046	1
0.356618	151.894	1
-0.342531	162.12	-0.047619
-0.353465	162.12	-0.047619
-0.36382	107.424	1
-0.362387	-161.073	-0.047619
0.35459	147.316	-0.047619
-0.358267	69.3255	-0.047619
-0.363173	156.948	-0.047619
-0.358729	156.948	-0.047619
-0.354869	2.83706	-0.047619
0.357135	86.4997	-0.047619
0.356618	112.705	-0.047619
0.353626	-13.4056	-0.0285714
0.35459	-128.74	-0.0380952
-0.363628	51.9198	1
0.348841	79.308	-0.047619
0.357369	70.6974	1
0.340976	70.6974	-0.0380952
-0.361786	-173.931	1
0.340108	97.2176	1
-0.355835	74.9495	-0.0714286
-0.36382	87.0293	1
-0.358729	148.482	-0.047619
-0.355835	-54.44	1
0.350148	31.255	1
0.355847	16.2963	1
0.348841	-102.905	1
0.352561	58.9018	-0.047619
-0.354923	-53.0445	1
0.334585	9.43717	-0.0380952
-0.341199	66.1732	1
0.337465	69.4415	1
-0.354566	-90.4272	1
0.317765	-139.977	1
0.344987	-68.0651	-0.047619
-0.352391	143.791	1
-0.346811	91.9691	-0.047619
-0.342656	-28.0835	1
0.323996	119.663	1
-0.354566	-158.872	1
-0.346811	-158.872	-0.047619
-0.349312	90.4702	1
0.317765	164.898	1
-0.349312	-109.535	-0.047619
-0.344087	-109.535	-0.047619
-0.332019	-129.166	-0.0285714
0.319331	-154.916	-0.0714286
0.341489	-109.12	1
0.325541	13.3132	-0.0714286
0.342728	-116.665	1
0.319331	-18.0417	1
0.341489	102.002	-0.047619
0.340198	-160.786	1
0.334592	-160.786	-0.047619
0.33604	105.735	-0.0380952
0.333119	105.735	-0.0380952
-0.341199	122.371	-0.047619
0.342728	97.4493	1
0.328605	-113.353	1
-0.345469	105.329	1
-0.352391	-89.6445	1
0.348373	13.5519	1
-0.354918	-154.653	1
0.317765	-98.3243	-0.0666667
-0.330445	-129.337	1
-0.339711	90.8172	1
0.337465	-2.34239	-0.047619
0.319331	-141.203	1
0.344987	-93.4082	1
-0.346811	-174.257	1
-0.354923	178.848	-0.047619
0.343903	-90.1648	-0.047619
0.328605	-90.1648	1
-0.346811	177.261	1
-0.348093	-29.9262	-0.047619
-0.33358	-179.288	-0.0714286
-0.354762	-88.4618	1
-0.332019	88.3567	-0.0380952
-0.338205	11.6677	1
0.337465	-103.407	-0.0380952
0.334592	-166.047	-0.0285714
0.331631	85.1276	-0.0380952
0.348373	-127.281	-0.047619
-0.341199	51.4301	-0.047619
-0.338205	133.242	1
-0.33358	103.98	-0.047619
-0.335136	-34.4426	-0.047619
0.334592	38.8658	1
-0.335136	112.643	-0.0666667
0.325541	4.54686	1
0.330121	-52.1036	1
-0.354762	49.1482	1
-0.350444	-51.8268	1
-0.336677	-51.8268	-0.0380952
-0.332019	-167.182	1
-0.348093	136.127	1
-0.332019	-4.10848	-0.047619
0.340198	-149.236	1
-0.342656	137.35	-0.047619
0.344987	162.981	-0.047619
0.334592	162.981	1
0.346894	177.88	1
0.330121	-136.772	-0.047619
-0.338205	-38.1039	-0.047619
-0.330445	0.233198	-0.0380952
-0.352391	-163.256	-0.047619
-0.353901	-9.71999	1
0.323996	-37.4686	-0.047619
0.345984	35.7084	-0.0190476
0.323996	35.7084	-0.0190476
0.344987	89.3523	1
-0.354414	-84.0688	-0.047619
-0.330445	-84.0688	-0.047619
-0.354566	4.60048	1
-0.330445	-76.5593	-0.0714286
-0.350444	45.3668	-0.0380952
-0.330445	45.3668	1
-0.354762	-159.572	-0.047619
-0.354923	-5.30824	-0.047619
-0.354566	-5.30824	1
0.323469	154.629	-0.047619
0.333119	32.5623	1
0.325541	-7.05049	1
0.348373	116.204	-0.047619
-0.354414	115.761	1
-0.354414	123.948	1
-0.354566	-54.5766	1
-0.354762	-47.9133	-0.0285714
0.327076	-104.447	1
0.327076	-100.817	1
0.345984	81.4433	-0.047619
0.334592	81.4433	-0.047619
-0.351468	-101.946	-0.047619
-0.346811	-101.946	-0.047619
-0.33358	-153.271	-0.047619
-0.332019	149.07	1
-0.354923	-177.771	-0.047619
-0.346811	-177.771	1
-0.339711	-20.4918	1
-0.33358	-64.6214	-0.047619
0.322447	-17.9565	-0.047619
-0.336677	179.081	-0.0285714
0.337465	166.879	1
0.330121	-151.978	1
-0.349312	-168.931	1
0.346894	-158.479	1
0.340198	108.532	-0.0380952
-0.344087	-150.437	-0.0380952
-0.345469	-95.2397	1
0.331631	162.369	1
0.320889	88.0199	1
0.327076	-138.75	1
-0.342656	127.984	-0.047619
0.323996	-157.786	-0.047619
0.319331	107.597	1
-0.331823	-98.3927	1
0.346894	170.218	-0.047619
0.325541	-118.274	1
-0.344087	38.8467	1
0.346894	-68.6665	-0.0714286
0.334592	-68.6665	1
0.323996	-68.6665	-0.0714286
-0.351468	53.1313	-0.047619
-0.332019	53.1313	1
0.341489	-107.697	-0.047619
0.348373	51.8146	1
0.343903	-85.3235	1
-0.350444	-68.6792	1
-0.354414	101.614	-0.047619
-0.354762	167.59	-0.047619
0.348373	-130.476	-0.0666667
-0.331998	75.3251	1
0.346894	106.939	1
0.322447	106.939	1
0.344987	-47.1223	-0.047619
0.330121	-68.6532	1
-0.353206	-128.428	-0.047619
-0.332019	-128.428	-0.047619
-0.338205	-161.754	1
0.331631	-118.785	1
0.319331	-118.785	-0.047619
0.344987	52.3784	-0.047619
0.337465	-17.4429	1
-0.332019	-82.0587	1
0.334592	3.61682	-0.0380952
0.320889	85.5433	1
-0.354876	-41.1244	-0.0714286
-0.344087	40.998	1
-0.338205	40.998	-0.047619
-0.350444	-33.7208	-0.0190476
-0.33358	77.2123	-0.047619
0.334592	49.7664	-0.047619
0.320889	49.7664	1
0.348373	-38.0111	1
0.322447	-38.0111	-0.047619
0.334592	-163.061	1
0.344987	136.31	1
0.328605	136.31	-0.047619
0.334592	101.668	1
-0.346811	14.7598	-0.047619
-0.341199	14.7598	1
0.325541	118.448	1
0.341546	121.183	1
0.333119	121.183	-0.047619
-0.338205	-161.754	-0.047619
-0.351468	131.883	1
0.31767	-26.4476	-0.0380952
0.334592	-26.4476	-0.0380952
0.322447	-38.8156	1
0.328605	-142.186	1
-0.353206	-150.456	-0.0380952
-0.354414	-144.577	1
-0.346811	-120.044	1
0.328605	-72.2776	-0.047619
0.323996	8.88171	1
-0.354414	147.177	-0.047619
0.347704	106.208	-0.047619
0.334592	-83.6813	-0.047619
0.330121	-83.6813	1
0.331631	107.222	-0.0380952
0.328605	107.222	1
-0.348633	-129.985	1
-0.354566	25.5686	-0.047619
-0.354566	-145.493	1
-0.346811	-113.125	1
-0.341169	-122.064	-0.0714286
0.330121	81.4281	1
0.327076	136.634	-0.047619
-0.336677	91.8759	-0.047619
0.346894	-7.50663	1
-0.342656	11.3294	1
-0.346811	11.3294	-0.0380952
-0.354414	142.236	-0.047619
-0.338205	142.236	-0.047619
0.334592	-54.9727	-0.047619
0.317765	-54.9727	1
-0.352365	-105.994	1
-0.354876	122.943	-0.047619
-0.332019	122.943	1
0.342728	121.821	-0.047619
-0.346811	93.4243	1
0.347704	111.195	1
-0.350444	-83.961	1
0.345984	93.6147	-0.047619
0.320889	-42.2024	-0.0380952
-0.338205	173.745	1
-0.338205	173.745	-0.0380952
-0.331982	125.689	1
-0.354923	-68.7691	-0.047619
0.340198	16.2865	1
0.346894	168.437	1
0.334592	14.9033	-0.047619
0.319331	14.9033	-0.047619
0.341489	51.7273	-0.0714286
0.328605	-7.26304	-0.0714286
0.344987	-64.6897	1
0.328605	-16.5043	-0.047619
-0.354695	-82.6321	1
0.334592	-124.922	1
0.344987	49.7223	1
-0.353206	59.6477	1
-0.354566	-174.316	-0.047619
0.337465	107.403	1
-0.354923	99.2662	1
-0.354414	39.0455	-0.047619
-0.354414	17.4276	-0.047619
-0.351468	17.4276	-0.047619
-0.342656	17.4276	-0.047619
0.328605	40.6673	1
-0.354414	143.788	1
-0.344087	-116.437	1
