 W/[MeV]  ,Theta  ,cosTheta   ,-t[GeVÂ²]  ,  dcs      ,   ds/dt   ,    T     ,    F     ,  Sigma    ,   E     ,    G      ,   H     ,    P      ,dcs_1/2   ,dcs_3/2
2040.56,0.0,1.0000,0.1322,0.00987,0.1021948,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.01974,0.00000
2040.56,2.0,0.9994,0.1326,0.01031,0.1068040,0.19738,-0.13762,0.00242,0.97005,0.03151,0.14197,-0.14158,0.02032,0.00031
2040.56,4.0,0.9976,0.1337,0.01164,0.1205137,0.35565,-0.24330,0.00851,0.89479,0.11047,0.25288,-0.25013,0.02205,0.00122
2040.56,6.0,0.9945,0.1355,0.01381,0.1429745,0.46159,-0.30631,0.01595,0.80353,0.20568,0.32226,-0.31459,0.02490,0.00271
2040.56,8.0,0.9903,0.1381,0.01677,0.1736161,0.52449,-0.33439,0.02294,0.71854,0.29338,0.35753,-0.34297,0.02881,0.00472
2040.56,10.0,0.9848,0.1414,0.02044,0.2116651,0.55990,-0.34038,0.02868,0.64924,0.36351,0.37107,-0.34858,0.03371,0.00717
2040.56,12.0,0.9781,0.1455,0.02474,0.2561696,0.58030,-0.33463,0.03303,0.59678,0.41484,0.37285,-0.34216,0.03950,0.00998
2040.56,14.0,0.9703,0.1502,0.02956,0.3060293,0.59348,-0.32365,0.03608,0.55902,0.44962,0.36915,-0.33047,0.04608,0.01303
2040.56,16.0,0.9613,0.1557,0.03477,0.3600309,0.60373,-0.31102,0.03798,0.53318,0.47078,0.36343,-0.31726,0.05331,0.01623
2040.56,18.0,0.9511,0.1619,0.04026,0.4168873,0.61314,-0.29859,0.03883,0.51678,0.48093,0.35746,-0.30451,0.06107,0.01946
2040.56,20.0,0.9397,0.1688,0.04590,0.4752789,0.62262,-0.28719,0.03872,0.50788,0.48208,0.35209,-0.29316,0.06921,0.02259
2040.56,22.0,0.9272,0.1764,0.05156,0.5338959,0.63240,-0.27715,0.03767,0.50505,0.47574,0.34766,-0.28362,0.07760,0.02552
2040.56,24.0,0.9135,0.1847,0.05712,0.5914791,0.64237,-0.26851,0.03570,0.50723,0.46300,0.34426,-0.27601,0.08610,0.02815
2040.56,26.0,0.8988,0.1936,0.06247,0.6468583,0.65221,-0.26117,0.03279,0.51365,0.44465,0.34185,-0.27034,0.09456,0.03038
2040.56,28.0,0.8829,0.2032,0.06751,0.6989859,0.66150,-0.25495,0.02893,0.52374,0.42126,0.34037,-0.26653,0.10286,0.03215
2040.56,30.0,0.8660,0.2135,0.07214,0.7469644,0.66973,-0.24965,0.02409,0.53706,0.39329,0.33969,-0.26449,0.11088,0.03340
2040.56,32.0,0.8480,0.2244,0.07630,0.7900669,0.67634,-0.24506,0.01826,0.55328,0.36110,0.33973,-0.26411,0.11852,0.03409
2040.56,34.0,0.8290,0.2359,0.07994,0.8277500,0.68071,-0.24097,0.01142,0.57212,0.32503,0.34038,-0.26529,0.12568,0.03421
2040.56,36.0,0.8090,0.2481,0.08302,0.8596586,0.68219,-0.23715,0.00357,0.59330,0.28541,0.34158,-0.26791,0.13228,0.03377
2040.56,38.0,0.7880,0.2608,0.08553,0.8856227,0.68012,-0.23340,-0.00529,0.61657,0.24262,0.34325,-0.27186,0.13826,0.03280
2040.56,40.0,0.7660,0.2742,0.08746,0.9056479,0.67380,-0.22953,-0.01513,0.64165,0.19709,0.34535,-0.27702,0.14359,0.03134
2040.56,42.0,0.7431,0.2881,0.08884,0.9198988,0.66252,-0.22534,-0.02592,0.66825,0.14936,0.34785,-0.28328,0.14821,0.02947
2040.56,44.0,0.7193,0.3025,0.08969,0.9286785,0.64562,-0.22067,-0.03761,0.69599,0.10005,0.35076,-0.29049,0.15211,0.02727
2040.56,46.0,0.6947,0.3175,0.09005,0.9324037,0.62247,-0.21535,-0.05013,0.72448,0.04996,0.35408,-0.29849,0.15529,0.02481
2040.56,48.0,0.6691,0.3330,0.08997,0.9315792,0.59254,-0.20925,-0.06341,0.75322,-0.00001,0.35786,-0.30712,0.15773,0.02220
2040.56,50.0,0.6428,0.3490,0.08950,0.9267697,0.55543,-0.20224,-0.07731,0.78169,-0.04882,0.36215,-0.31616,0.15947,0.01954
2040.56,52.0,0.6157,0.3654,0.08871,0.9185747,0.51091,-0.19423,-0.09173,0.80928,-0.09526,0.36702,-0.32538,0.16051,0.01692
2040.56,54.0,0.5878,0.3823,0.08765,0.9076027,0.45898,-0.18515,-0.10651,0.83532,-0.13805,0.37256,-0.33453,0.16087,0.01443
2040.56,56.0,0.5592,0.3997,0.08638,0.8944501,0.39993,-0.17495,-0.12148,0.85914,-0.17580,0.37886,-0.34333,0.16060,0.01217
2040.56,58.0,0.5299,0.4174,0.08496,0.8796821,0.33435,-0.16360,-0.13647,0.88002,-0.20711,0.38602,-0.35145,0.15972,0.01019
2040.56,60.0,0.5000,0.4356,0.08342,0.8638180,0.26317,-0.15112,-0.15128,0.89727,-0.23062,0.39410,-0.35857,0.15828,0.00857
2040.56,62.0,0.4695,0.4541,0.08183,0.8473201,0.18768,-0.13752,-0.16571,0.91027,-0.24507,0.40314,-0.36436,0.15632,0.00734
2040.56,64.0,0.4384,0.4730,0.08021,0.8305870,0.10949,-0.12284,-0.17955,0.91846,-0.24940,0.41315,-0.36848,0.15389,0.00654
2040.56,66.0,0.4067,0.4922,0.07861,0.8139500,0.03050,-0.10713,-0.19260,0.92145,-0.24282,0.42405,-0.37060,0.15104,0.00617
2040.56,68.0,0.3746,0.5117,0.07704,0.7976737,-0.04715,-0.09043,-0.20468,0.91896,-0.22489,0.43571,-0.37042,0.14783,0.00624
2040.56,70.0,0.3420,0.5315,0.07552,0.7819593,-0.12121,-0.07279,-0.21561,0.91095,-0.19554,0.44792,-0.36766,0.14431,0.00672
2040.56,72.0,0.3090,0.5515,0.07407,0.7669494,-0.18938,-0.05424,-0.22524,0.89755,-0.15516,0.46034,-0.36211,0.14055,0.00759
2040.56,74.0,0.2756,0.5717,0.07270,0.7527361,-0.24948,-0.03477,-0.23343,0.87910,-0.10456,0.47258,-0.35357,0.13660,0.00879
2040.56,76.0,0.2419,0.5922,0.07141,0.7393689,-0.29950,-0.01435,-0.24009,0.85614,-0.04496,0.48412,-0.34192,0.13254,0.01027
2040.56,78.0,0.2079,0.6128,0.07020,0.7268633,-0.33776,0.00705,-0.24512,0.82937,0.02203,0.49439,-0.32708,0.12842,0.01198
2040.56,80.0,0.1736,0.6336,0.06907,0.7152098,-0.36299,0.02952,-0.24847,0.79966,0.09452,0.50273,-0.30903,0.12431,0.01384
2040.56,82.0,0.1392,0.6546,0.06803,0.7043809,-0.37436,0.05314,-0.25008,0.76795,0.17039,0.50845,-0.28779,0.12027,0.01579
2040.56,84.0,0.1045,0.6756,0.06706,0.6943386,-0.37158,0.07801,-0.24994,0.73525,0.24740,0.51085,-0.26343,0.11636,0.01775
2040.56,86.0,0.0698,0.6967,0.06616,0.6850388,-0.35485,0.10422,-0.24804,0.70258,0.32326,0.50921,-0.23606,0.11264,0.01968
2040.56,88.0,0.0349,0.7178,0.06533,0.6764354,-0.32492,0.13183,-0.24438,0.67093,0.39578,0.50289,-0.20582,0.10916,0.02150
2040.56,90.0,0.0000,0.7390,0.06456,0.6684817,-0.28300,0.16089,-0.23898,0.64122,0.46291,0.49130,-0.17293,0.10596,0.02316
2040.56,92.0,-0.0349,0.7602,0.06385,0.6611307,-0.23074,0.19137,-0.23187,0.61425,0.52282,0.47398,-0.13759,0.10307,0.02463
2040.56,94.0,-0.0698,0.7813,0.06319,0.6543342,-0.17015,0.22320,-0.22311,0.59072,0.57401,0.45059,-0.10009,0.10052,0.02586
2040.56,96.0,-0.1045,0.8024,0.06259,0.6480400,-0.10351,0.25624,-0.21277,0.57112,0.61534,0.42097,-0.06072,0.09833,0.02684
2040.56,98.0,-0.1392,0.8235,0.06202,0.6421892,-0.03328,0.29028,-0.20095,0.55581,0.64606,0.38513,-0.01984,0.09649,0.02755
2040.56,100.0,-0.1736,0.8444,0.06149,0.6367128,0.03804,0.32503,-0.18776,0.54495,0.66583,0.34329,0.02220,0.09500,0.02798
