# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = stan_file_model
# start_datetime = 2022-04-11 16:42:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/s0/1b5b1rv519lbn0jf9y1nplvc0000gn/T/tmprkdt6u2a/ibqqr98i.json
# init = 2 (Default)
# random
#   seed = 99797
# output
#   file = /Users/jakob/Documents/Studium/master_thesis/bayes/noisy_model/csv_files/stan_file-20220411184233_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,y_tilde.1,y_tilde.2,y_tilde.3,y_tilde.4,y_tilde.5,y_tilde.6,y_tilde.7,y_tilde.8,y_tilde.9,y_tilde.10,y_tilde.11,y_tilde.12,y_tilde.13,y_tilde.14,y_tilde.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15
# Adaptation terminated
# Step size = 0.817341
# Diagonal elements of inverse mass matrix:
# 0.00630432, 0.00315003
-11.8107,0.887199,0.817341,2,3,0,12.3666,1.01906,0.910154,1.74692,2.20587,1.29819,0.546603,-0.234768,-0.255397,0.391537,0.972559,1.64419,1.874,1.63924,1.06654,0.0666044,-0.453972,-0.124358,-0.149145,-1.25972,0.891763,-0.368739,-2.69139,-0.579415,0.38556,-0.024972,0.00712649,0.313816,-0.662217,0.222209,0.326107,0.399965,0.178654,1.92921,1.68011,1.0546,0.358471,-0.0679538,-0.016204,0.488421,1.19922,1.7687,1.91846,1.57528,0.906932,0.240161,-0.0990657,0.0550919
-11.4947,0.98142,0.817341,3,7,0,12.9229,1.04719,0.917166,2.08064,1.93072,0.89947,0.535202,-0.287727,-0.340684,-0.0364777,1.46102,1.38235,1.91231,1.66164,0.776248,0.242576,-0.282797,0.185198,0.0125155,-1.07214,0.902968,-0.451997,-2.53461,-0.764503,0.402455,-0.0677561,0.113643,0.259516,-0.482596,0.211837,0.333574,0.334896,0.143246,1.96435,1.70838,1.0656,0.350256,-0.0879393,-0.034761,0.483793,1.21421,1.79941,1.9533,1.60065,0.913856,0.228681,-0.11991,0.0385028
-10.433,0.986248,0.817341,2,3,0,11.7761,1.11489,1.06778,1.95493,1.74896,1.21772,0.720103,-0.195347,-0.151952,0.716869,1.85448,2.04681,1.99189,2.02028,1.63741,-0.0502172,0.108717,-0.0814221,0.520637,-0.0592292,0.532939,0.468756,-3.23641,0.0198698,-0.218984,-0.734098,0.450791,-0.448023,0.440985,-0.152394,0.201441,0.540933,0.298218,2.18267,1.91015,1.22581,0.464218,-0.00230691,0.0543094,0.606388,1.38403,2.00707,2.1709,1.79545,1.06426,0.334783,-0.0363444,0.13231
-10.1956,0.94862,0.817341,2,3,0,11.0339,1.03586,1.00492,1.99446,1.58742,1.08794,0.48215,0.0862666,0.119443,0.242334,1.07603,1.59812,2.07621,1.80207,1.57169,0.0661355,0.113392,-0.162981,0.287635,-0.606366,0.828035,0.343157,-3.34971,0.0843373,-0.0325917,-0.357731,0.318974,0.083047,-0.0039313,0.0315113,0.221549,0.562962,0.301818,2.04078,1.78757,1.15175,0.444138,0.010682,0.0632851,0.576231,1.29875,1.87762,2.02985,1.68101,1.00164,0.323877,-0.0209428,0.135756
-10.193,0.964608,0.817341,2,3,0,10.7063,1.07619,1.04937,2.05917,2.13053,1.24851,0.278324,-0.346164,-0.312327,0.422686,1.46414,2.20437,1.93249,1.78467,0.527728,0.700957,-0.147287,0.261573,0.470272,-0.246851,0.651464,0.483512,-3.40037,0.138125,-0.203366,-0.594879,0.429805,-0.202456,0.304032,-0.0939115,0.187686,0.568474,0.311969,2.12555,1.86249,1.20191,0.466755,0.016424,0.0710751,0.603991,1.35464,1.95605,2.1142,1.75178,1.04596,0.341813,-0.016432,0.146368
-10.6435,0.948942,0.817341,3,7,0,11.0294,1.16537,1.05455,2.35905,2.69607,1.05455,0.348331,0.125698,0.0438409,0.401447,1.76325,2.15347,2.33951,1.49479,1.38323,0.580562,0.00982835,-0.418777,0.521965,0.0261426,0.565192,0.198888,-2.72295,-0.471469,-0.00969378,-0.739432,0.444633,-0.630033,0.489538,-0.109184,0.276674,0.398488,0.219649,2.21991,1.93505,1.21973,0.423654,-0.0639948,-0.00481499,0.572262,1.38512,2.03636,2.20762,1.81517,1.05086,0.288358,-0.0995736,0.0767173
