lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,y_tilde.1,y_tilde.2,y_tilde.3,y_tilde.4,y_tilde.5,y_tilde.6,y_tilde.7,y_tilde.8,y_tilde.9,y_tilde.10,y_tilde.11,y_tilde.12,y_tilde.13,y_tilde.14,y_tilde.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15
# Adaptation terminated
# Step size = 0.894467
# Diagonal elements of inverse mass matrix:
# 0.00697596, 0.00305696
-10.0864,1,0.894467,2,3,0,10.8836,1.10519,1.00776,2.51359,2.15638,1.25702,0.700699,-0.576933,0.345083,0.794635,1.8779,1.98137,2.01569,1.93737,1.29644,0.374923,0.210422,0.0445794,0.451279,-0.333706,0.792675,0.0892322,-2.8113,-0.39897,0.109771,-0.448893,0.41368,-0.15258,0.21694,0.02473,0.285942,0.434101,0.226088,2.11295,1.8428,1.16442,0.409446,-0.0530227,0.00310124,0.55038,1.32126,1.93888,2.10129,1.7291,1.00427,0.281136,-0.0867643,0.0804234
-10.5459,0.93891,0.894467,2,3,0,10.6959,1.07421,0.957599,2.23104,1.23599,0.900227,0.187773,0.0213104,-0.285599,0.466713,1.49351,1.61755,2.19808,1.82231,0.597048,0.115596,0.0399491,-0.178045,0.260776,-0.706402,0.900504,-0.199314,-2.64789,-0.605539,0.287023,-0.222592,0.286912,0.108877,-0.122943,0.140195,0.317238,0.378594,0.181019,2.03181,1.76923,1.10986,0.376059,-0.0734446,-0.0188941,0.513042,1.26231,1.86261,2.02048,1.65872,0.954203,0.251346,-0.10624,0.0562604
-10.6067,0.894647,0.894467,3,7,0,11.7698,1.07077,0.954106,2.66311,1.66204,1.25158,0.306875,0.789375,-0.148867,0.192443,1.3159,1.75497,2.20912,1.89051,0.84909,-0.254066,-0.154633,-0.306713,0.239018,-0.740681,0.903843,-0.214505,-2.6464,-0.60909,0.295861,-0.207076,0.272197,0.127137,-0.155299,0.147131,0.31829,0.378338,0.179797,2.02487,1.76314,1.10588,0.374429,-0.0736336,-0.0192579,0.510974,1.25784,1.85622,2.01358,1.65298,0.950721,0.250116,-0.106324,0.0556558
-10.0919,0.971661,0.894467,1,3,0,10.9873,1.11153,1.01586,1.8059,1.69846,1.2082,0.420099,0.149641,-0.130953,0.369381,1.02831,1.81485,2.10895,1.97115,1.73135,0.524454,-0.341644,-0.227149,0.472801,-0.276244,0.763776,0.126109,-2.82765,-0.377979,0.0809624,-0.490831,0.426689,-0.208249,0.265293,0.00334008,0.28098,0.438882,0.230804,2.12739,1.85569,1.17341,0.414112,-0.0510094,0.00543648,0.555854,1.33116,1.95232,2.11566,1.74134,1.01234,0.285066,-0.0849446,0.0832022
-10.9403,0.859585,0.894467,1,3,0,11.0839,1.19435,1.02405,2.53621,1.74361,1.3389,0.193043,-0.302331,-0.122237,0.678188,1.30875,1.85954,2.25646,1.76032,1.02034,0.0843876,-0.496885,-0.0387541,0.522397,-0.00235386,0.688564,-0.186285,-2.27496,-1.05304,0.211762,-0.632705,0.447004,-0.620568,0.462011,-0.0183926,0.327076,0.189294,0.104366,2.2184,1.92645,1.19334,0.377465,-0.122312,-0.06166,0.529769,1.36284,2.03028,2.2058,1.80358,1.02027,0.238804,-0.158775,0.0218999
-10.7509,1,0.894467,1,1,0,11.0073,1.18179,1.02092,1.61801,1.83717,1.0428,0.378586,-0.201299,0.347109,0.559586,1.18449,2.08991,2.03098,1.3775,1.34315,0.334604,-0.319847,0.37203,0.524444,-0.04604,0.708521,-0.152616,-2.3412,-0.961538,0.201973,-0.601775,0.450249,-0.54162,0.432339,-0.00983961,0.323289,0.227066,0.122152,2.20271,1.91383,1.18843,0.381139,-0.113381,-0.0533677,0.53184,1.35615,2.01657,2.19024,1.79226,1.01718,0.243936,-0.149461,0.0293134
-11.0753,0.988789,0.894467,3,7,0,11.1988,0.964622,0.989398,1.98983,1.34911,1.20225,0.66786,-0.0990414,0.145104,0.741219,1.27062,1.25885,2.08978,1.69048,0.622305,0.557125,-0.0221111,0.572323,-0.0327182,-1.00941,0.880459,0.485986,-3.82937,0.390523,-0.116172,-0.22509,0.12222,0.275871,-0.361249,0.0694351,0.159785,0.601126,0.334853,1.95402,1.71823,1.12613,0.467185,0.0635388,0.112524,0.590194,1.26302,1.80209,1.94384,1.61899,0.986349,0.355195,0.0340889,0.180012
-11.1782,0.965095,0.894467,2,3,0,12.0759,1.03636,0.930346,2.22516,1.6172,0.816159,0.602107,0.300409,0.0879626,0.250315,1.12542,1.65553,2.08822,1.52747,1.12548,-0.303786,-0.0151304,-0.113239,0.0225421,-1.04014,0.909703,-0.263026,-2.71998,-0.536579,0.335218,-0.0980719,0.126622,0.255056,-0.441369,0.190479,0.319246,0.408749,0.189979,1.9667,1.71338,1.07725,0.369297,-0.0643669,-0.0117386,0.501454,1.22432,1.80347,1.95577,1.60676,0.92707,0.248979,-0.096007,0.0607677
-10.2077,1,0.894467,2,3,0,11.1421,1.03513,1.02169,2.06418,1.98031,0.882218,0.649909,-0.354305,0.0197885,0.500075,1.24505,2.12292,2.21568,1.76028,1.021,0.443492,-0.0403436,0.304159,0.332088,-0.521831,0.780221,0.451498,-3.50494,0.201925,-0.135426,-0.424249,0.349597,0.0360704,0.0764143,-0.0132426,0.189055,0.581962,0.317711,2.05682,1.80379,1.16841,0.461303,0.028152,0.0807181,0.593303,1.31532,1.89378,2.0459,1.6973,1.01842,0.341127,-0.00345062,0.153139
-10.3287,0.91655,0.894467,1,3,0,10.8629,1.12722,0.989788,2.63949,1.84404,1.07353,0.14681,0.238447,0.0175093,0.221702,1.28891,2.22764,1.46808,1.97249,1.1023,0.566207,-0.296175,0.294704,0.457705,-0.339754,0.833486,-0.167121,-2.50222,-0.765877,0.2417,-0.400687,0.414308,-0.167127,0.202137,0.0697311,0.319493,0.312254,0.155293,2.11701,1.84147,1.14957,0.379549,-0.0921372,-0.0348946,0.523292,1.30954,1.93947,2.10512,1.72551,0.986225,0.248682,-0.126551,0.0439688
-11.7135,0.815606,0.894467,2,3,0,12.3629,1.23472,1.03884,2.65058,1.20342,1.27181,0.4302,-0.12493,-0.0659574,0.509677,2.0077,2.04758,2.91792,1.58432,0.905771,0.558956,-0.183081,0.225049,0.48015,0.13603,0.594979,-0.252409,-2.10154,-1.30561,0.220681,-0.759057,0.411836,-0.924161,0.546869,-0.0605633,0.334493,0.0781034,0.0554554,2.27356,1.97175,1.21386,0.370411,-0.146257,-0.0835554,0.527862,1.38909,2.07909,2.26054,1.84473,1.03494,0.227064,-0.183953,0.00282861
-10.8223,0.951704,0.894467,2,3,0,12.606,1.09914,1.09109,2.38384,1.89487,1.56271,0.673305,-0.327816,0.09179,0.432455,1.23057,1.82693,2.39017,1.7026,1.2709,0.241326,-0.110686,-0.271526,0.522922,-0.0190089,0.409947,0.635765,-3.57679,0.272253,-0.424859,-0.828642,0.450176,-0.484874,0.47402,-0.232809,0.129938,0.587012,0.328818,2.19024,1.92156,1.24689,0.496054,0.0361169,0.0919337,0.636217,1.40288,2.01712,2.17864,1.80849,1.08762,0.368447,0.00255997,0.168833
-12.432,0.830709,0.894467,2,3,0,13.2274,1.21763,1.11735,2.4488,2.34266,1.36072,0.433423,0.115779,-0.271189,0.51449,1.49417,2.25699,2.02864,1.7586,0.773023,0.779898,-0.00936019,0.27597,0.36891,0.285307,0.105112,0.432571,-2.82491,-0.333205,-0.265729,-1.15622,0.309621,-1.31384,0.608163,-0.329379,0.233788,0.42942,0.25078,2.33498,2.03734,1.28994,0.458169,-0.0513471,0.0104865,0.613441,1.46275,2.14319,2.32213,1.91208,1.1135,0.316806,-0.0885213,0.0956748
-10.4886,0.978517,0.894467,2,3,0,12.7144,1.14792,1.05627,2.59087,1.92604,0.974299,0.577681,-0.417482,0.123313,0.646583,1.15568,2.14776,2.74171,1.6546,1.1573,0.137389,-0.152397,0.0685257,0.524439,-0.0120506,0.569075,0.27956,-2.8724,-0.31327,-0.0618262,-0.723619,0.448999,-0.550791,0.466768,-0.114796,0.258051,0.450082,0.246781,2.20419,1.92359,1.21898,0.434821,-0.0455278,0.0127661,0.581204,1.38189,2.02339,2.19208,1.8055,1.05264,0.30155,-0.080574,0.0930778
-11.6464,0.88628,0.894467,2,3,0,11.9564,0.975963,0.932501,1.61651,1.6943,1.32343,0.0770976,-0.0244467,0.0203598,0.781388,1.46071,1.74715,1.82325,1.68455,0.861423,0.22332,-0.0500052,0.00868155,-0.254984,-1.33026,0.906651,0.0463411,-3.21967,-0.0473903,0.217225,-0.0535778,-0.0461145,0.337934,-0.705044,0.186472,0.273335,0.544544,0.276084,1.90846,1.6699,1.07084,0.404148,-0.00424407,0.0453174,0.528603,1.20935,1.75475,1.89817,1.5695,0.929416,0.290841,-0.0340402,0.113598
-11.4128,0.934401,0.894467,2,3,0,12.9357,1.10878,0.925446,1.83439,1.28922,1.06539,0.0736493,-0.420909,-0.0888857,0.580761,1.81778,2.17701,2.10776,1.73184,0.240096,-0.432088,-0.37088,-0.168031,0.268163,-0.740331,0.911033,-0.722241,-2.15503,-1.29275,0.460764,-0.147325,0.280025,0.103317,-0.177389,0.199012,0.345679,0.129747,0.0343404,2.03423,1.7632,1.08261,0.32519,-0.138779,-0.0824733,0.466582,1.23997,1.85959,2.02253,1.64913,0.921941,0.196464,-0.172631,-0.00490005
