lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,y_tilde.1,y_tilde.2,y_tilde.3,y_tilde.4,y_tilde.5,y_tilde.6,y_tilde.7,y_tilde.8,y_tilde.9,y_tilde.10,y_tilde.11,y_tilde.12,y_tilde.13,y_tilde.14,y_tilde.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15
# Adaptation terminated
# Step size = 0.781535
# Diagonal elements of inverse mass matrix:
# 0.00584986, 0.00337597
-13.5297,0.858908,0.781535,2,3,0,13.5321,0.877902,1.10208,2.00941,1.51877,0.927203,0.987306,0.459506,0.404504,0.837447,1.73481,1.89214,1.64751,1.78591,0.88554,1.12209,0.363535,0.540348,-2.47678,0.208965,0.019962,0.735902,0.0597522,0.542024,-4.61239,0.227374,0.923602,0.519382,-0.188244,0.0281833,-0.804563,0.375943,-0.17568,1.97998,1.76539,1.22652,0.626812,0.259453,0.304035,0.738762,1.35111,1.84171,1.97072,1.67507,1.0993,0.52489,0.232651,0.365455
-13.9049,0.96422,0.781535,3,7,0,14.8947,1.01578,0.906051,1.88054,1.9665,0.924578,0.331625,-0.109199,-0.289652,0.1463,1.39511,1.74506,1.64871,1.34747,0.870584,0.57458,0.0748494,0.230489,-3.29001,0.291638,0.225325,-0.157156,0.38811,-0.280682,-1.43073,0.592672,1.05725,0.390738,0.0823057,0.678568,-2.40006,-1.52323,0.31722,1.92184,1.67354,1.05003,0.35614,-0.0689154,-0.0173318,0.485673,1.19419,1.76184,1.91112,1.56904,0.90284,0.23821,-0.0999274,0.0537351
-12.2516,1,0.781535,2,3,0,13.8577,1.03431,1.0265,1.98981,1.76426,0.541935,0.168517,0.535561,-0.0297983,0.484667,1.47714,2.10678,1.98854,1.83699,1.39317,0.498548,-0.0846089,-0.0408205,-1.49867,0.137971,0.114778,0.451033,0.472885,0.196502,-2.66906,0.34124,0.629869,0.580138,-0.274693,0.394994,-1.70925,-0.717823,0.280717,2.06081,1.80799,1.17311,0.466565,0.0337581,0.0862824,0.59846,1.3199,1.8979,2.0499,1.70158,1.02323,0.346485,0.00218063,0.158645
-12.8318,0.936158,0.781535,2,3,0,13.0492,0.880963,0.987567,1.90338,1.13098,1.28861,0.587037,0.0847641,0.680564,0.648371,1.43705,1.8022,2.31865,1.29225,0.921595,-0.0524924,0.055293,0.337927,-4.1162,0.296941,0.188096,0.599955,0.377579,0.466588,-2.97652,0.543603,1.01718,0.220762,0.0949402,0.525128,-1.36252,-0.0564842,0.145344,1.86853,1.65319,1.11244,0.510644,0.142005,0.186742,0.622984,1.23746,1.72977,1.85924,1.56256,0.984782,0.408366,0.115109,0.248376
-13.6082,0.973832,0.781535,3,7,0,13.904,1.11399,1.0079,2.17539,1.84567,1.69046,0.728404,-0.295309,0.146852,0.363508,1.20847,1.84724,2.24988,2.12818,0.952841,-0.1173,-0.422656,-0.172212,-0.877267,0.0486874,0.125555,0.152378,0.400207,-0.212032,-2.06687,0.327805,0.243541,0.54217,-0.394311,0.46346,-2.15013,-1.48283,0.320364,2.12189,1.84959,1.1658,0.40482,-0.0613307,-0.00475987,0.546876,1.32389,1.94643,2.11014,1.73498,1.00438,0.275488,-0.0953409,0.0731779
-13.9938,0.961452,0.781535,2,3,0,15.2308,1.01076,0.902774,1.75901,1.65047,1.19549,0.455896,-0.264646,-0.342336,0.946525,1.38668,1.72788,1.90555,2.07594,0.993083,0.391811,-0.620732,-0.162132,-3.41356,0.294016,0.226389,-0.161092,0.390644,-0.273519,-1.41911,0.595633,1.05269,0.367332,0.0950814,0.681186,-2.3999,-1.50826,0.317474,1.91354,1.66647,1.04605,0.355581,-0.0673737,-0.0160451,0.484473,1.18949,1.75434,1.90287,1.56249,0.899578,0.238234,-0.0982324,0.0546706
-12.9801,0.9459,0.781535,2,3,0,14.9172,0.949916,0.938396,2.09451,1.81229,0.977997,0.143199,0.021405,-0.363684,0.620586,1.2677,1.62662,2.24903,1.79835,0.739916,0.476152,-0.209823,-0.00288182,-3.8006,0.296469,0.216106,0.257143,0.472511,0.153904,-2.04917,0.581432,1.03372,0.289457,0.102825,0.637798,-1.90612,-0.749381,0.295772,1.88831,1.65612,1.07304,0.424144,0.0266513,0.07489,0.545277,1.20785,1.73869,1.87829,1.55839,0.935393,0.313861,-0.00234964,0.141349
-12.8967,0.996203,0.781535,2,7,0,13.6217,1.06113,1.05888,2.26506,1.44514,1.03794,0.813638,0.172768,-0.136041,0.573816,1.02385,2.01491,2.09742,1.76609,1.0294,0.613588,-0.660533,-0.142976,-0.894807,0.0216563,0.0536356,0.51782,0.472497,0.224943,-2.93505,0.19164,0.182893,0.543775,-0.457758,0.257013,-1.62346,-0.677887,0.270524,2.12002,1.86064,1.2093,0.484423,0.0403917,0.0942783,0.619739,1.35989,1.95288,2.10882,1.75147,1.05553,0.361229,0.00799533,0.168518
-12.2278,0.981283,0.781535,2,3,0,13.2426,0.910711,1.01819,1.7015,1.5149,0.563566,0.597178,-0.139678,0.240117,1.26109,1.70906,1.74496,1.66565,1.50968,0.990407,0.370262,0.32788,0.137927,-3.18636,0.273195,0.150475,0.637273,0.373916,0.472709,-3.21496,0.465527,1.05242,0.412583,-0.0142663,0.424863,-1.30423,-0.05095,0.133589,1.9289,1.70628,1.14728,0.525158,0.144071,0.190319,0.641292,1.27652,1.78545,1.91929,1.61259,1.01531,0.419427,0.116267,0.254034
-14.2675,0.838558,0.781535,2,3,0,14.4801,0.865497,1.12316,1.92411,1.70382,0.951559,0.820955,0.175537,0.123166,0.795009,1.49753,1.8488,2.24718,1.59793,0.798635,0.69547,0.281147,0.37725,-2.36332,0.191517,-0.021328,0.713287,-0.0696512,0.517352,-5.025,0.154299,0.880697,0.532352,-0.229641,-0.0994276,-0.684035,0.451121,-0.289917,1.98865,1.77709,1.24584,0.654607,0.292439,0.336391,0.764975,1.36867,1.85233,1.97952,1.68806,1.12042,0.554125,0.266016,0.396944
-12.5182,1,0.781535,2,3,0,14.4892,0.902841,0.98738,1.71077,2.00202,1.39359,0.74803,-0.107272,0.184205,0.751547,1.12845,1.62293,1.78718,1.88964,0.917469,0.654407,0.0776604,0.126501,-3.7707,0.293055,0.185412,0.564619,0.411153,0.427772,-2.85906,0.53366,1.04657,0.297614,0.0668919,0.525871,-1.44101,-0.165667,0.181194,1.89022,1.66953,1.11535,0.498612,0.120818,0.166666,0.613742,1.24348,1.74802,1.8807,1.57665,0.984526,0.393795,0.0932542,0.229831
-13.2337,0.924043,0.781535,2,3,0,13.8438,0.985284,1.11144,1.838,2.52617,0.972393,0.436654,0.141439,0.169145,0.8681,1.32514,1.93177,2.09047,1.91559,0.988775,0.540353,-0.181556,0.593083,-1.12108,0.0334642,-0.033206,0.724121,0.331331,0.509335,-4.08459,0.0523699,0.288105,0.565873,-0.469799,-0.024942,-1.08235,0.0379707,0.0632076,2.09672,1.85588,1.2511,0.578037,0.165745,0.215779,0.70368,1.39092,1.94153,2.08633,1.75452,1.10832,0.463648,0.135664,0.284712
-12.0378,1,0.781535,2,3,0,13.1863,1.00418,0.999288,2.17631,2.09437,0.681266,0.345208,0.310127,-0.405543,0.654651,1.31804,1.62594,1.6749,2.02196,1.04732,0.224083,-0.112938,0.303633,-2.17427,0.219159,0.157396,0.40592,0.472854,0.19712,-2.49072,0.446568,0.909731,0.54905,-0.126935,0.490638,-1.7531,-0.699749,0.282581,2.00347,1.75801,1.14163,0.455658,0.0354583,0.0864528,0.583712,1.28414,1.84531,1.99288,1.6547,0.996114,0.339076,0.00480067,0.156708
-12.4156,0.874665,0.781535,1,3,0,13.2413,0.906368,0.993148,1.87802,1.46654,0.51487,0.146915,0.217383,0.313925,0.589025,1.24442,1.82591,2.04654,1.7083,1.09583,-0.487902,0.147412,-0.0740592,-3.62656,0.289859,0.179351,0.576389,0.407738,0.433149,-2.91359,0.52157,1.05448,0.327916,0.0498727,0.508787,-1.42225,-0.153874,0.176026,1.89952,1.67796,1.12162,0.502472,0.123202,0.169229,0.618052,1.25025,1.75676,1.88995,1.58472,0.990283,0.397245,0.0955304,0.232641
-12.5132,0.983429,0.781535,1,1,0,12.5715,0.902229,0.988521,1.96176,1.8097,0.92416,0.334267,0.202066,-0.0862145,0.483696,1.47173,2.08061,1.88491,1.62592,0.928577,0.814934,0.0497597,0.437196,-3.76243,0.292828,0.18442,0.569158,0.408686,0.431347,-2.87666,0.531991,1.04727,0.299413,0.065357,0.522546,-1.43261,-0.156606,0.178162,1.89075,1.67021,1.11641,0.500085,0.122547,0.168364,0.615137,1.24445,1.74864,1.88123,1.57739,0.985669,0.395338,0.0950015,0.231486
-12.2051,0.995776,0.781535,2,3,0,12.7097,1.03162,1.01867,1.87068,1.59492,1.45664,0.504786,-0.379177,0.337116,0.746134,1.64754,1.72283,2.04055,1.57261,0.95225,-0.016862,0.0367389,0.131681,-1.61592,0.156248,0.126848,0.425037,0.472687,0.176637,-2.58715,0.369011,0.694795,0.579313,-0.242564,0.424489,-1.74514,-0.753909,0.285965,2.05029,1.79813,1.1649,0.460184,0.0285005,0.0808885,0.591737,1.3113,1.88781,2.03941,1.692,1.01541,0.340415,-0.00299505,0.153064
-12.0037,0.997583,0.781535,2,3,0,12.2898,0.987853,1.04105,2.12622,1.63054,2.30066,0.0852817,0.267415,-0.205733,0.691566,1.54267,2.08766,1.83142,1.63296,1.14841,0.0331471,0.46226,0.0530457,-1.86359,0.174805,0.102439,0.58755,0.44431,0.372446,-3.09603,0.336672,0.778699,0.571075,-0.222352,0.335459,-1.45314,-0.333232,0.211518,2.0289,1.78744,1.18108,0.506262,0.0928952,0.14306,0.632233,1.32127,1.87331,2.01848,1.68581,1.03793,0.391575,0.062736,0.212173
-12.138,0.989819,0.781535,2,3,0,12.1686,0.972874,0.97996,2.20878,1.74298,1.14457,0.737784,-0.041887,0.0171249,0.658743,1.26073,1.92305,1.70434,1.51443,1.01861,0.130023,-0.00583855,0.0543177,-2.84504,0.266204,0.183035,0.395642,0.471577,0.229474,-2.4152,0.510687,1.03558,0.467499,-0.0200466,0.547259,-1.74564,-0.620773,0.275696,1.95283,1.71503,1.11786,0.453279,0.0461796,0.0955841,0.57734,1.25593,1.7996,1.94257,1.61494,0.976884,0.340331,0.0164777,0.163649
-12.7235,0.929318,0.781535,2,3,0,13.0098,0.900295,0.974366,1.9413,1.218,1.05534,0.425553,0.367372,0.433242,0.682472,1.79482,2.03234,1.79716,1.21944,1.27305,-0.114653,-0.186739,0.588151,-4.01725,0.296726,0.197038,0.526654,0.425187,0.403995,-2.70992,0.555237,1.02337,0.242911,0.0960548,0.561398,-1.50344,-0.221287,0.200312,1.87466,1.65459,1.10198,0.486977,0.110249,0.155968,0.601783,1.22975,1.73286,1.86516,1.56198,0.97152,0.382456,0.0827627,0.218955
-12.873,0.991607,0.781535,2,3,0,12.9692,0.895811,0.968912,1.73592,1.7254,1.09481,0.468364,0.367282,0.428209,0.690206,1.04111,1.81777,1.82141,1.94133,0.953897,0.0783744,0.29666,-0.566291,-4.17815,0.297701,0.201742,0.516166,0.426606,0.400776,-2.66568,0.564356,1.00337,0.205559,0.111674,0.574998,-1.5174,-0.22677,0.203159,1.86472,1.64575,1.09589,0.483951,0.109098,0.15459,0.598184,1.22302,1.72363,1.85527,1.5536,0.96608,0.37995,0.0817493,0.217263
-13.1542,0.985645,0.781535,2,3,0,13.3104,0.869095,0.978761,1.7135,1.66362,0.894301,0.618899,-0.27123,0.0938041,0.431703,1.15387,1.7672,1.85315,1.66551,0.958474,0.658852,0.360085,0.477757,-4.45737,0.29771,0.19706,0.593278,0.372986,0.470009,-2.92679,0.561383,0.968703,0.138526,0.125168,0.549603,-1.36786,-0.0424522,0.142982,1.84786,1.63542,1.10195,0.508262,0.144589,0.188724,0.61909,1.22529,1.71097,1.83869,1.54601,0.976014,0.407363,0.118056,0.249528
-12.1298,1,0.781535,2,7,0,13.1915,1.01503,0.994603,1.59185,1.81615,1.26437,0.385696,0.133149,0.172892,0.278089,1.48964,1.96714,1.80821,1.81862,1.11211,0.24391,-0.187786,0.0204685,-2.09741,0.214387,0.161114,0.359135,0.471499,0.142356,-2.38229,0.450673,0.891639,0.555436,-0.13391,0.505393,-1.82408,-0.808026,0.294549,2.00963,1.76152,1.13848,0.445102,0.0203641,0.0719093,0.574539,1.28253,1.84976,1.99892,1.6571,0.991395,0.327261,-0.0106247,0.142923
-12.2882,0.98042,0.781535,2,7,0,12.5036,0.971473,1.06971,2.12101,0.936861,1.27341,0.626872,0.319712,0.352477,0.406804,1.24042,1.81687,1.87252,1.64908,1.03863,0.483924,0.379599,0.0415495,-1.71992,0.146025,0.0571417,0.67666,0.385707,0.466352,-3.57184,0.250189,0.692563,0.577034,-0.282176,0.203501,-1.24443,-0.0929111,0.13245,2.04118,1.80372,1.20741,0.543786,0.137273,0.186606,0.667668,1.34528,1.88817,2.03093,1.70378,1.06664,0.431001,0.107614,0.254573
-12.5265,0.792253,0.781535,1,3,0,14.742,0.998439,0.956422,2.15152,1.75168,1.04809,0.437527,-0.40417,-0.0344854,0.739225,1.53598,1.75415,1.84876,1.4024,0.714949,-0.236874,-0.167539,-0.0496722,-2.81684,0.269689,0.200194,0.213718,0.462776,0.0471967,-2.02652,0.540091,1.03859,0.471204,-0.0033374,0.604097,-1.9928,-0.968359,0.31011,1.95486,1.7108,1.09795,0.415902,-0.00189532,0.0488075,0.543223,1.23964,1.7976,1.94433,1.60809,0.953266,0.299986,-0.0323777,0.118661
