lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,y_tilde.1,y_tilde.2,y_tilde.3,y_tilde.4,y_tilde.5,y_tilde.6,y_tilde.7,y_tilde.8,y_tilde.9,y_tilde.10,y_tilde.11,y_tilde.12,y_tilde.13,y_tilde.14,y_tilde.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15
# Adaptation terminated
# Step size = 0.867916
# Diagonal elements of inverse mass matrix:
# 0.00611437, 0.00328662
-12.504,0.857061,0.867916,2,3,0,13.1207,1.05625,1.01012,1.88697,1.79013,0.648963,0.592459,0.216801,-0.144098,0.3088,1.19666,1.92637,1.66286,1.74173,0.930032,-0.153949,-0.031917,-0.169863,-1.43795,0.137601,0.133943,0.327397,0.46173,0.0521807,-2.3643,0.373891,0.615689,0.579713,-0.267697,0.455211,-1.89488,-0.995359,0.307368,2.06637,1.80818,1.15984,0.438308,-0.0036786,0.0499598,0.573,1.30974,1.90001,2.05523,1.69952,1.00678,0.315681,-0.0359258,0.123858
-12.2604,0.921085,0.867916,2,3,0,13.1156,0.968008,0.971231,1.92409,1.84667,0.993311,0.410066,0.259554,-0.317261,0.844296,1.13717,2.06565,2.02939,1.63083,1.3139,0.198055,-0.143168,0.0328489,-3.03698,0.275866,0.191642,0.368606,0.472279,0.214415,-2.33661,0.529596,1.0513,0.436875,0.00866473,0.569859,-1.77863,-0.646929,0.280368,1.93924,1.70262,1.10844,0.447184,0.0421213,0.0912787,0.570625,1.24582,1.78677,1.92903,1.60304,0.968171,0.334801,0.012568,0.159003
-12.9394,0.716514,0.867916,1,3,0,14.7749,1.00963,1.09428,2.22422,2.12746,1.02087,0.622,0.0284817,0.168769,0.652065,1.1965,1.86759,2.33234,1.7165,1.02055,1.03712,-0.0412207,0.0537779,-1.04965,0.030409,-0.00281682,0.683713,0.404784,0.447704,-3.69409,0.100605,0.257682,0.560142,-0.464789,0.0748023,-1.24709,-0.159769,0.147897,2.10391,1.85712,1.23739,0.547696,0.125214,0.176486,0.676445,1.38067,1.94489,2.09326,1.75325,1.09109,0.430481,0.0943902,0.247122
-12.3258,1,0.867916,2,3,0,13.2223,1.02665,0.981801,1.78782,1.9606,1.33225,0.886253,0.267738,0.104637,0.543885,1.1473,1.76935,2.32174,1.69535,0.940277,0.0826046,-0.0418705,-0.405325,-2.11199,0.219837,0.173498,0.26669,0.461778,0.0460227,-2.17944,0.473823,0.90397,0.554127,-0.118798,0.542708,-1.94993,-0.987853,0.309247,2.00845,1.7575,1.12732,0.426005,-0.00359874,0.0485369,0.556924,1.27302,1.84675,1.99762,1.65188,0.978555,0.306813,-0.0349425,0.120364
-12.1941,0.996936,0.867916,2,7,0,12.5341,0.917806,1.03967,1.86064,1.97926,1.96264,0.705641,0.418581,0.0625565,0.737752,1.63486,1.84717,2.11373,1.31981,1.00416,0.643877,-0.26577,0.0590937,-2.78061,0.248955,0.119775,0.67482,0.345912,0.495811,-3.46429,0.403107,1.01017,0.478332,-0.0819124,0.34035,-1.21772,0.0160084,0.0993572,1.95748,1.73313,1.16977,0.542803,0.158747,0.205355,0.659842,1.30002,1.81292,1.9478,1.63871,1.03677,0.436248,0.130726,0.269567
-12.4056,0.962732,0.867916,2,3,0,12.7072,0.947334,1.07558,2.01157,2.54199,0.748531,0.800853,-0.00715136,0.398764,0.831122,1.33254,1.73971,2.0521,1.20716,1.20379,0.851351,0.237984,0.289642,-1.93523,0.168169,0.0525835,0.706896,0.330118,0.507685,-3.79401,0.253953,0.7766,0.567405,-0.248824,0.173591,-1.13542,0.0455318,0.0730608,2.02291,1.79135,1.20986,0.562723,0.166311,0.214418,0.683527,1.3443,1.8737,2.01292,1.69389,1.07258,0.45274,0.137388,0.280696
-13.1291,0.920697,0.867916,2,3,0,13.4068,1.05458,0.947871,2.24838,1.67467,1.05451,0.381694,-0.661531,0.116864,0.519595,0.875381,1.93296,2.13731,1.34948,0.880923,0.396911,-0.340039,0.180121,-2.18702,0.236007,0.200644,-0.0168072,0.395525,-0.244545,-1.68815,0.527466,0.942975,0.5473,-0.0750459,0.621558,-2.28915,-1.49329,0.31928,2.00246,1.74467,1.09735,0.376955,-0.0643358,-0.0107818,0.511436,1.24702,1.83635,1.99133,1.63618,0.944537,0.254521,-0.0965323,0.0629996
-13.1299,0.997413,0.867916,2,7,0,13.2156,0.889199,1.0905,1.81155,2.09505,1.68801,0.421725,0.139886,0.041044,0.626295,1.4271,1.99058,1.32504,1.58403,0.944165,0.473081,0.292715,0.512754,-2.48053,0.213248,0.0398349,0.739207,0.137671,0.54756,-4.36434,0.259947,0.931246,0.518752,-0.175216,0.0936022,-0.887117,0.312563,-0.105875,1.9797,1.76234,1.21654,0.609115,0.237029,0.282184,0.722505,1.34273,1.83964,1.97032,1.67086,1.08769,0.505881,0.209882,0.344395
-12.2173,0.960686,0.867916,2,3,0,13.699,1.00147,0.977325,2.12338,1.73269,0.990901,0.59124,0.17416,-0.436658,0.419631,1.53263,2.06326,1.56576,1.66255,0.85091,0.505878,-0.0159892,0.654444,-2.4924,0.248034,0.181662,0.312267,0.470447,0.122778,-2.24712,0.499546,0.990078,0.51544,-0.0611055,0.554534,-1.87512,-0.835795,0.298984,1.9788,1.734,1.11928,0.435161,0.0160943,0.0669512,0.562869,1.2614,1.82106,1.96823,1.63097,0.974159,0.318893,-0.0144807,0.137017
-12.3393,0.978473,0.867916,1,1,0,12.3646,1.00322,0.968756,1.90282,1.87797,1.2135,0.807078,0.362518,0.0697977,0.424199,1.37404,1.50084,2.06279,1.46922,1.24163,0.396553,-0.0458317,-0.123731,-2.58324,0.255458,0.189428,0.264851,0.466718,0.0812185,-2.14168,0.515746,1.00778,0.503958,-0.0417434,0.5762,-1.93521,-0.911362,0.305566,1.97198,1.72675,1.11096,0.425645,0.0058459,0.0567917,0.553576,1.25333,1.81397,1.9614,1.62355,0.965585,0.309174,-0.0247825,0.12698
