lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,y_tilde.1,y_tilde.2,y_tilde.3,y_tilde.4,y_tilde.5,y_tilde.6,y_tilde.7,y_tilde.8,y_tilde.9,y_tilde.10,y_tilde.11,y_tilde.12,y_tilde.13,y_tilde.14,y_tilde.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15
# Adaptation terminated
# Step size = 0.904706
# Diagonal elements of inverse mass matrix:
# 0.00629401, 0.00345513
-10.3294,1,0.904706,2,3,0,11.6452,1.10636,0.978032,2.08659,1.83793,1.34664,0.511289,-0.169055,-0.0642068,0.352671,1.31467,2.10362,2.18345,1.75525,0.932977,-0.0488273,0.204039,-0.129242,0.397703,-0.470755,0.865468,-0.171378,-2.56616,-0.692634,0.255783,-0.331017,0.376476,-0.0501417,0.0898152,0.0968517,0.317845,0.342387,0.167552,2.0844,1.81396,1.13485,0.379084,-0.0838737,-0.0276903,0.520168,1.29187,1.91014,2.07272,1.70014,0.974534,0.250639,-0.117651,0.0497138
-10.2006,0.934729,0.904706,2,7,0,10.8501,1.0707,1.04877,2.10555,1.80102,1.18757,0.544379,0.188283,0.0413874,0.416951,1.60523,1.87286,2.20466,1.41949,1.1121,0.472914,0.0280905,0.347253,0.461454,-0.26728,0.657602,0.497112,-3.44188,0.167598,-0.214279,-0.585073,0.425384,-0.178882,0.2888,-0.0921275,0.181596,0.573919,0.315441,2.11947,1.85775,1.20054,0.469133,0.0210998,0.075472,0.605668,1.35249,1.95083,2.10817,1.7476,1.04539,0.344828,-0.0115886,0.150381
-10.2608,0.937695,0.904706,3,7,0,10.929,1.06956,0.977301,2.38187,1.55021,1.06992,0.28934,-0.57536,0.0680233,0.651453,1.56161,1.79625,1.84157,1.79895,0.707659,0.257165,0.0391382,-0.19761,0.305041,-0.617857,0.876008,-0.002468,-2.84173,-0.381589,0.188446,-0.288848,0.320541,0.0666728,-0.0329407,0.0982326,0.294335,0.446637,0.225125,2.04686,1.78542,1.12891,0.398277,-0.0492811,0.00503342,0.534668,1.2807,1.8784,2.03558,1.67539,0.97392,0.274104,-0.0819348,0.0798627
-10.7402,0.954224,0.904706,2,3,0,10.8411,1.03166,1.07065,2.22015,1.73509,1.21478,0.817863,0.381044,0.259971,0.512718,1.42981,2.09716,2.31508,2.05726,1.47049,0.508283,-0.113097,0.300982,0.433012,-0.300754,0.579833,0.705172,-3.98907,0.493418,-0.47985,-0.634803,0.414675,-0.115944,0.275365,-0.162792,0.0704661,0.600567,0.342698,2.1023,1.85013,1.21688,0.512141,0.0804433,0.132833,0.643698,1.36329,1.93981,2.09142,1.744,1.06738,0.392368,0.0489468,0.205011
-13.7876,0.629605,0.904706,1,3,0,13.8715,0.993334,1.1532,1.98751,1.7627,1.54949,0.491402,0.169624,0.279534,1.06727,1.86832,2.08703,2.06416,1.76557,1.30202,0.426078,-0.15182,0.898509,0.495568,-0.0826582,0.0726928,0.911172,-5.20341,0.820471,-1.32855,-0.999072,0.448277,-0.291977,0.456843,-0.479172,-0.2866,0.425394,0.278584,2.14653,1.90372,1.294,0.61544,0.199779,0.250223,0.74211,1.43497,1.99008,2.13605,1.80153,1.15006,0.500117,0.169453,0.319719
-11.7062,1,0.904706,1,1,0,13.417,1.04966,1.11704,2.0958,2.11985,1.36798,0.704608,-0.18466,0.192944,0.429106,1.32192,2.12004,1.88568,2.06277,0.994199,0.34165,-0.134687,0.356301,0.51245,-0.0593013,0.28477,0.825722,-4.27126,0.620511,-0.787831,-0.890507,0.450447,-0.377628,0.458385,-0.330232,-0.028144,0.58652,0.341517,2.1667,1.91013,1.26582,0.548787,0.109554,0.162858,0.68264,1.41479,2.00138,2.15563,1.80214,1.11372,0.426923,0.0775078,0.236295
-10.8889,0.948614,0.904706,2,3,0,12.6681,1.16636,1.07508,2.38788,1.78435,1.0713,0.460171,0.605248,0.202169,0.828987,1.88687,2.13304,2.33671,1.69316,0.860942,-0.0936178,-0.23326,0.0994,0.511389,0.0921759,0.449644,0.339898,-2.8815,-0.295512,-0.129699,-0.844331,0.431762,-0.745084,0.532498,-0.176269,0.247778,0.451458,0.251905,2.24144,1.95633,1.2404,0.443648,-0.0444168,0.0148135,0.592382,1.40593,2.05773,2.22913,1.83635,1.07139,0.308236,-0.0800258,0.0964153
-10.1509,0.803702,0.904706,2,3,0,12.7522,1.07515,0.988154,2.27773,1.8385,0.924555,-0.0526706,0.350197,-0.0994212,0.584286,1.23504,2.39925,1.9092,1.3883,0.929074,0.237022,0.0608118,0.0753882,0.348731,-0.538737,0.854082,0.0623322,-2.88667,-0.330359,0.146408,-0.335892,0.34991,0.0174467,0.040542,0.0732278,0.285756,0.45989,0.235504,2.0633,1.80049,1.14055,0.406107,-0.0437874,0.0108107,0.54321,1.29313,1.89396,2.05196,1.68989,0.984756,0.281286,-0.0766116,0.0860307
-10.1019,0.991263,0.904706,2,3,0,10.3052,1.06148,1.03131,2.40331,2.31471,1.31909,0.67362,0.135171,0.198346,0.681979,1.42013,1.71228,2.37797,1.68632,0.958195,0.661,0.0310469,-0.192169,0.414974,-0.377434,0.734097,0.423363,-3.36563,0.106052,-0.127491,-0.496243,0.398086,-0.0807755,0.196362,-0.0401772,0.204013,0.564254,0.306682,2.09279,1.83333,1.18177,0.456667,0.012491,0.0663951,0.592026,1.33242,1.9256,2.08159,1.72413,1.02796,0.333432,-0.0199159,0.140659
-10.8709,0.862658,0.904706,1,3,0,10.9222,1.02023,1.07139,2.79376,2.07695,1.19282,0.669415,0.0318618,0.160044,0.934287,1.14723,1.99216,2.31413,1.71633,1.08181,0.608264,0.0366665,0.068479,0.412632,-0.33629,0.584283,0.731962,-4.10149,0.544009,-0.520909,-0.623166,0.404664,-0.078177,0.249588,-0.165391,0.0482761,0.596718,0.34366,2.09162,1.84223,1.216,0.519068,0.0921528,0.143962,0.649168,1.36079,1.93092,2.08085,1.73728,1.06816,0.400623,0.0610052,0.21534
