name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
lp__,-2.6,0.076,3.0,-8.3,-2.3,1.7,1500.0,18.0,1.0
sigma,0.05,0.0027,0.24,-0.34,0.051,0.45,8200.0,94.0,1.0
a[1],0.00039,0.00063,0.064,-0.1,0.0012,0.1,10113.0,117.0,1.0
a[2],0.014,0.00068,0.063,-0.091,0.013,0.12,8735.0,101.0,1.0
a[3],-0.02,0.00064,0.061,-0.12,-0.02,0.083,9192.0,106.0,1.0
a[4],0.043,0.00061,0.06,-0.057,0.043,0.14,9821.0,113.0,1.0
b[1],0.0073,0.00066,0.061,-0.092,0.0074,0.11,8586.0,99.0,1.0
b[2],0.052,0.00062,0.063,-0.052,0.053,0.15,10491.0,121.0,1.0
b[3],-0.014,0.00063,0.063,-0.12,-0.015,0.088,9747.0,113.0,1.0
b[4],0.047,0.00065,0.062,-0.055,0.046,0.15,9141.0,106.0,1.0
sigma_bkg,-0.19,0.0,0.23,-0.58,-0.19,0.19,8797.72,101.65,1.0
a_bkg[1],0.056,0.00063,0.062,-0.045,0.055,0.16,9673.0,112.0,1.0
a_bkg[2],0.022,0.00062,0.062,-0.079,0.023,0.12,9929.0,115.0,1.0
a_bkg[3],0.079,0.00062,0.059,-0.018,0.08,0.18,9205.0,106.0,1.0
a_bkg[4],-0.038,0.00063,0.06,-0.14,-0.037,0.064,9223.0,107.0,1.0
b_bkg[1],0.11,0.00057,0.061,0.0063,0.11,0.21,11558.0,134.0,1.0
b_bkg[2],-0.012,0.0007,0.063,-0.12,-0.011,0.091,8209.0,95.0,1.0
b_bkg[3],0.1,0.00066,0.061,0.0016,0.1,0.2,8547.0,99.0,1.0
b_bkg[4],-0.12,0.00061,0.061,-0.22,-0.12,-0.017,10057.0,116.0,1.0
