,ebin00costbin00,ebin00costbin01,ebin00costbin02,ebin00costbin03,ebin00costbin04,ebin00costbin05,ebin01costbin00,ebin01costbin01,ebin01costbin02,ebin01costbin03,ebin01costbin04,ebin01costbin05,ebin02costbin00,ebin02costbin01,ebin02costbin02,ebin02costbin03,ebin02costbin04,ebin02costbin05
25,-0.0773311,-0.174166,-0.0862909,-0.0710369,0.00228541,-0.0829059,-0.105212,-0.134856,-0.0353406,-0.0367665,-0.0750849,-0.0375053,-0.204027,-0.0471939,-0.0538539,-0.073534,-0.0672375,0.0131092
26,-0.105392,-0.175285,-0.0733334,-0.072897,-0.0670519,-0.0785011,-0.10619,-0.113828,-0.00445729,0.0372346,-0.083222,-0.0720376,-0.115128,-0.0387198,0.00647937,-0.165551,-0.0166605,0.0375338
27,-0.150674,-0.18767,-0.115011,-0.0579068,-0.0386252,-0.100308,-0.105657,-0.125559,-0.0322296,0.0325603,-0.0410699,-0.0822175,-0.128314,-0.0784279,-0.0741846,-0.0617525,0.00605496,0.0463443
28,-0.050088,-0.181889,-0.0311279,-0.0756836,-0.0730172,-0.0496771,-0.126041,-0.143071,-0.0330498,-0.023456,-0.0737584,-0.0140131,-0.163835,-0.0710046,0.00582977,-0.107626,-0.131127,0.102103
29,-0.171646,-0.191648,-0.106561,-0.0766456,-0.020737,-0.103864,-0.109199,-0.109985,-0.0423592,-0.0103903,-0.110944,-0.0994907,-0.178886,-0.0275474,-0.0357533,-0.113675,-0.0839574,0.0526207
30,-0.0796229,-0.169577,-0.0444609,-0.0459135,-0.0583677,-0.0664573,-0.0666272,-0.12341,-0.069472,0.00612631,-0.0354564,-0.0101279,-0.140884,-0.0463063,-0.00285376,-0.0783354,-0.00303015,0.0662555
31,-0.115003,-0.201636,-0.0509224,-0.0599371,-0.0247293,-0.0783177,-0.0721245,-0.0992013,-0.0151096,0.0656057,-0.0238189,-0.0581297,-0.161355,-0.0829363,0.000775528,-0.119843,-0.0580987,0.0880976
32,-0.142942,-0.181471,-0.0592038,-0.0627903,-0.0557016,-0.0900145,-0.116065,-0.151559,0.000247736,0.0473967,-0.0931571,-0.0493622,-0.194302,-0.0304485,-0.0443236,-0.122635,0.00307564,0.113235
33,-0.0902699,-0.168393,-0.0963224,-0.0723492,-0.0209749,-0.074117,-0.117758,-0.0972671,-0.00762262,0.00294398,-0.0235202,-0.068993,-0.168693,-0.0745509,0.017603,-0.0861458,-0.0911667,0.0969946
34,-0.150236,-0.166836,-0.0706318,-0.0848994,-0.0397984,-0.0420228,-0.153008,-0.0956284,-0.0491223,0.00364827,-0.0916077,-0.091708,-0.135119,-0.162415,0.00617017,-0.0323856,-0.0843861,0.00670476
35,-0.0813298,-0.193599,-0.0787689,-0.0550952,-0.0415436,-0.0725479,-0.0692063,-0.157794,-0.018049,-0.0407012,-0.0319281,-0.0385579,-0.174664,-0.112311,-0.00565573,-0.196542,-0.000826386,-0.0135415
36,-0.0873052,-0.188782,-0.0614871,-0.0772703,-0.0548921,-0.0849143,-0.145823,-0.0896146,-0.0123195,-0.0163514,-0.0816487,-0.0784596,-0.206659,-0.101109,-0.0161811,-0.0375923,-0.0581867,0.131014
37,-0.198682,-0.180909,-0.0927283,-0.0601995,-0.0447459,-0.100185,-0.145694,-0.147608,-0.0442111,-0.00338016,-0.0570491,-0.0459909,-0.197565,-0.0729747,-0.0373298,-0.0668986,-0.0278585,0.0260821
38,-0.181111,-0.173939,-0.0927283,-0.0974856,-0.0310762,-0.141804,-0.0971236,-0.101225,0.0314716,0.0540641,-0.0791309,-0.0463247,-0.103274,-0.0618425,-0.0375849,-0.12758,-0.0132134,0.0851275
39,-0.0715102,-0.193931,-0.103329,-0.0291812,-0.105933,-0.0205094,-0.0788682,-0.113888,-0.0337558,-0.0195323,-0.0438973,-0.0269431,-0.122049,-0.0441785,-0.00815227,-0.0480607,-0.0704082,0.0176227
40,-0.0585734,-0.153342,-0.0891719,-0.0130337,-0.0149682,-0.107585,-0.145612,-0.130305,-0.0193567,0.0314885,-0.0643996,-0.0735574,-0.186154,-0.060547,-0.0101966,-0.173994,-0.0849399,0.0676124
41,-0.139282,-0.193495,-0.0665664,-0.118228,-0.0871209,-0.128164,-0.126345,-0.0769916,-0.0294829,0.00126622,-0.0503931,-0.040276,-0.237701,-0.000232864,-0.111523,-0.0613155,-0.0518513,0.0147467
42,-0.101299,-0.194494,-0.081165,-0.0927312,-0.0584167,-0.0429209,-0.086935,-0.180765,0.0105639,0.0169569,-0.0369289,-0.0862591,-0.0949182,-0.084691,0.0460169,-0.0887607,-0.00115773,0.0359538
43,-0.145161,-0.162924,-0.0692049,-0.0837424,-0.0337609,-0.104133,-0.0945748,-0.0480762,-0.0504027,0.00600682,-0.0736295,-0.0797929,-0.22631,-0.0120209,-0.0269394,-0.114952,-0.085531,0.0630485
44,-0.130563,-0.186359,-0.0591017,-0.0970371,-0.0612349,-0.0784459,-0.110947,-0.179917,-0.0263542,-0.00229174,-0.116181,-0.0290585,-0.213406,-0.0583138,0.0184567,-0.0887971,-0.0102425,0.049997
45,-0.0936948,-0.177998,-0.100536,-0.0926328,-0.0346284,-0.100322,-0.108474,-0.154272,-0.0261779,0.000775584,0.000215322,-0.0232223,-0.0881718,-0.0813186,-0.0331197,-0.0991892,-0.0885202,0.0754567
46,-0.0826779,-0.185015,-0.0806876,-0.0812146,-0.0330286,-0.0607514,-0.100202,-0.138405,-0.0217307,0.0262142,-0.0618695,-0.061736,-0.222342,-0.0733595,-0.0128739,-0.109128,-0.0138494,0.0599528
47,-0.15497,-0.177886,-0.0418535,-0.0590695,-0.0462439,-0.0902284,-0.130856,-0.112303,-0.00601705,0.0288771,-0.0687182,-0.088978,-0.154534,-0.0183184,-0.041963,-0.0592662,-0.0522927,0.0908726
48,-0.0856729,-0.166838,-0.0469168,-0.00978994,-0.0521493,-0.0984683,-0.0934921,-0.0997611,0.0248638,-0.0121005,-0.0739924,-0.0175219,-0.120324,-0.0923929,-0.0981673,-0.0588899,-0.0342442,0.0283803
49,-0.131383,-0.191132,-0.0850183,-0.110668,-0.0277007,-0.0968199,-0.111268,-0.10162,-0.0553166,0.0228184,-0.0279652,-0.0938571,-0.227979,0.0136993,0.0505819,-0.164007,-0.0725927,0.0692764
50,-0.129342,-0.177497,-0.0324151,-0.0809551,-0.00352877,-0.100929,-0.115622,-0.15348,-0.0517996,-0.012188,-0.0864264,-0.0750747,-0.189861,0.00305153,-0.0726583,-0.0931869,-0.016456,0.0459327
51,-0.118572,-0.155972,-0.0506333,-0.0684321,-0.00975726,-0.0660235,-0.113215,-0.112136,-0.0741714,0.0397477,-0.0189145,-0.0727822,-0.130738,-0.0941083,0.0985191,-0.120849,-0.0666891,0.0690022
52,-0.147589,-0.133463,-0.0483663,-0.064421,-0.0562209,-0.0887701,-0.112067,-0.102925,0.0262647,-0.00960407,-0.0475125,-0.0217808,-0.130738,-0.0930258,-0.138801,-0.0804547,-0.0354022,0.0389649
53,-0.0757931,-0.225747,-0.0808786,-0.0850117,-0.041989,-0.104434,-0.0970287,-0.139747,-0.00880552,0.0108418,-0.0508904,-0.0894483,-0.199902,-0.0274473,-0.0523399,-0.0961037,0.0376732,-0.00797284
54,-0.166543,-0.165749,-0.0428159,-0.0859037,-0.0416796,-0.0744361,-0.131408,-0.104728,-0.0258798,-0.00212618,-0.0682197,-0.0316327,-0.148125,-0.0267108,-0.0565498,-0.108393,-0.0878729,0.108035
55,-0.0744831,-0.172731,-0.0951437,-0.0605839,-0.0524086,-0.0772684,-0.107328,-0.180057,0.00113138,0.00477173,-0.0434069,-0.0610602,-0.175291,-0.0767702,-0.00769581,-0.083618,-0.000996654,-0.00892672
56,-0.0939538,-0.186053,-0.0743244,-0.080437,-0.0213118,-0.0518146,-0.0859527,-0.0852752,-0.0434089,0.00800412,-0.0780024,-0.0713096,-0.139165,-0.0620426,-0.00508692,-0.12978,-0.0359459,0.0868492
57,-0.10555,-0.184587,-0.0756648,-0.0688665,0.00502621,-0.0793166,-0.120986,-0.153168,0.00403225,-0.00447846,-0.053456,-0.0423908,-0.0792863,-0.0355669,-0.0594948,-0.149156,0.0046443,0.0301244
58,-0.133842,-0.200895,-0.0789647,-0.0794097,-0.0375312,-0.0562395,-0.107861,-0.1488,-0.0517341,0.00388311,-0.0886405,-0.0927028,-0.230304,-0.0957376,0.00566857,-0.128173,-0.063639,0.0500482
59,-0.0693629,-0.14715,-0.0217675,-0.0615299,-0.0555768,-0.0804984,-0.107214,-0.0961939,0.00286392,-0.00405324,-0.0359222,-0.051587,-0.0653761,-0.0854568,-0.00462421,-0.101599,-0.027658,0.113328
60,-0.103095,-0.169458,-0.125265,-0.101122,-0.0727665,-0.0793498,-0.117548,-0.0652599,-0.0420624,0.0218134,-0.0772031,-0.0232647,-0.235701,-0.0428565,-0.0841765,-0.0947567,-0.0644217,0.0109078
61,-0.16893,-0.137074,-0.0195096,-0.055819,0.0113158,-0.0932339,-0.11333,-0.147379,-0.013787,-0.0107101,-0.0401674,-0.0616775,-0.0660092,-0.0770263,0.0320565,-0.0948122,-0.0325872,-0.00177518
62,-0.0722833,-0.178394,-0.0826517,-0.0514381,-0.0930569,-0.0605393,-0.120959,-0.0891016,-0.0256965,-0.0107243,-0.0868805,-0.0654584,-0.123563,-0.00800846,-0.0524134,-0.114758,-0.0296723,0.0784931
63,-0.167754,-0.189845,-0.085876,-0.0416512,-0.0560624,-0.0426307,-0.130134,-0.145032,-0.0236721,0.00898454,-0.0697999,-0.0864955,-0.138744,-0.127956,0.0513591,-0.0929243,-0.071821,0.102397
64,-0.0976086,-0.126669,-0.0456976,-0.0438511,-0.0232711,-0.124391,-0.121133,-0.0935363,-0.028711,0.0502085,-0.0536099,-0.0422692,-0.163536,0.0122458,-0.0816007,-0.0946535,-0.0338739,0.0522869
65,-0.169315,-0.24503,-0.0564209,-0.0438385,-0.0539393,-0.0619596,-0.100382,-0.162769,-0.0470659,-0.0212417,-0.0585603,-0.0755206,-0.140145,-0.0666989,0.110692,-0.155893,-0.0462361,0.0423434
66,-0.142431,-0.202551,-0.0643847,-0.0590552,-0.0397715,-0.0733875,-0.136897,-0.164558,-0.0301635,0.015544,-0.059029,-0.0417346,-0.161896,-0.0128375,-0.0590385,-0.167837,-0.0345531,0.0449957
67,-0.0812142,-0.163778,-0.112115,-0.082129,-0.0516729,-0.052863,-0.139132,-0.0825587,-0.0215322,-0.0239604,-0.0344913,-0.0656301,-0.0942769,-0.0493629,-0.00392405,-0.0955884,-0.0785926,0.0470495
68,-0.199928,-0.199365,-0.0112085,-0.0562233,-0.0468815,-0.0388279,-0.0881595,-0.0947791,0.00747222,0.0446844,-0.0272647,-0.0859679,-0.207366,-0.115206,0.0113231,-0.0713927,-0.00259838,0.0678925
69,-0.176869,-0.159939,-0.142785,-0.0816133,-0.0302273,-0.129043,-0.133604,-0.136218,-0.040681,0.0360642,-0.0505585,-0.0712759,-0.0844489,0.0192068,-0.0431394,-0.0827434,-0.0942222,0.0450077
70,-0.117632,-0.222941,-0.0768868,-0.054254,-0.0265711,-0.0319002,-0.123038,-0.0983197,-0.0128018,-0.0189038,-0.084433,-0.0373966,-0.232438,-0.0478864,0.00122756,-0.141098,-0.10059,0.0636215
71,-0.121364,-0.240811,-0.100116,-0.102178,-0.0380757,-0.189045,-0.113058,-0.134632,-0.0373113,0.0209318,-0.106348,-0.0678842,-0.098811,-0.0778531,-0.0257833,-0.114379,0.0126429,-0.0165818
72,-0.120637,-0.160169,-0.0504795,-0.0377375,-0.0461383,0.0140137,-0.122506,-0.114504,0.00709459,0.0313584,-0.0166251,-0.0252432,-0.202769,-0.0359258,-0.0565829,-0.0955991,-0.00950715,0.133034
73,-0.104539,-0.211265,-0.0854053,-0.101526,-0.0651136,-0.111003,-0.108993,-0.120154,-0.0574229,-0.0323985,-0.0675688,-0.0650608,-0.118938,-0.0988745,-0.067252,-0.115546,-0.0493479,-0.019381
74,-0.142775,-0.16708,-0.0738834,-0.0827155,-0.0515677,-0.0550823,-0.162035,-0.102513,-0.059445,0.0460184,-0.062118,-0.0471325,-0.092696,0.00348274,0.0111435,-0.0891427,-0.0363899,0.0858008
75,-0.115151,-0.17315,-0.0722185,-0.0639005,-0.0259225,-0.139998,-0.050581,-0.153009,0.00278161,-0.0311021,-0.053875,-0.0669953,-0.146208,-0.0796978,-0.0356608,-0.115585,-0.00362876,0.0379203
76,-0.106672,-0.156093,-0.0718915,-0.0658052,-0.0701883,-0.118557,-0.067095,-0.0907737,-0.0095354,0.0546519,-0.0172269,-0.0713189,-0.176705,-0.0168659,0.040841,-0.223087,-0.0546656,0.0653648
77,-0.111928,-0.167632,-0.0807429,-0.0570579,-0.0617349,-0.0921993,-0.153551,-0.105421,-0.0318344,-0.0344441,-0.0592006,-0.0361914,-0.134904,-0.0897866,-0.0938962,0.0166335,-0.0599254,0.0355366
78,-0.0734988,-0.20264,-0.0758096,-0.0320626,-0.0402493,-0.0778116,-0.0677246,-0.0931745,-0.0164783,0.0103041,-0.0693365,-0.0673304,-0.154635,-0.0706804,0.0669065,-0.214438,-0.0351657,-0.018995
79,-0.0798585,-0.122893,-0.0870444,-0.0449618,-0.0473973,-0.100464,-0.14811,-0.130608,-0.0224966,0.0177338,-0.066122,-0.064949,-0.0929909,-0.0622596,-0.0599443,-0.216414,-0.0762678,0.0295499
80,-0.0840463,-0.144805,-0.0486978,-0.0904811,-0.00169405,-0.0896369,-0.146615,-0.132251,-0.0182927,-0.00281822,-0.0620474,-0.0750382,-0.200773,-0.0942455,0.0174659,-0.0326548,-0.00885513,0.114838
81,-0.179319,-0.171305,-0.0858493,-0.0870264,0.0104578,-0.124092,-0.0650114,-0.0944764,-0.025869,0.00931821,-0.0498336,-0.0234621,-0.121438,-0.111792,-0.0117836,-0.157719,-0.0737154,-0.00370926
82,-0.0511465,-0.176859,-0.111183,-0.0935278,-0.0878486,-0.0308938,-0.154073,-0.164482,-0.0337791,0.00980509,-0.0602974,-0.0559425,-0.196428,-0.0217102,-0.013078,-0.145297,-0.00632855,0.000465764
83,-0.173682,-0.157344,-0.0873448,-0.0735875,-0.0526505,-0.0417196,-0.075151,-0.0616331,-0.00972088,0.00149792,-0.0740532,-0.109715,-0.174006,-0.114415,-0.0190927,-0.0648282,-0.0223435,0.0934238
84,-0.16943,-0.235146,-0.0561152,-0.0662457,-0.0345605,-0.129079,-0.0877741,-0.185658,-0.0232462,0.020029,-0.0402521,-0.0600953,-0.13468,-0.0263515,-0.0168249,-0.0562207,-0.0813948,0.0238939
85,-0.115999,-0.144106,-0.0933881,-0.0753877,-0.0488085,-0.0678336,-0.15134,-0.102082,-0.00560905,0.0100904,-0.076506,-0.0549966,-0.206527,-0.0369997,-0.0368736,-0.147797,-0.0133299,0.0689874
86,-0.126312,-0.181717,-0.0341271,-0.0597825,-0.0249619,-0.119296,-0.0777623,-0.10816,-0.0433443,-0.0129761,-0.0977895,-0.047359,-0.114953,-0.0612372,0.00334157,-0.179417,-0.0716601,0.0182541
87,-0.141545,-0.190388,-0.125169,-0.0808717,-0.0687159,-0.110291,-0.136563,-0.120122,-0.00272473,-0.0291156,-0.0688918,-0.0445099,-0.143875,-0.0268455,-0.0462207,-0.0485156,-0.0128398,0.0705532
88,-0.138528,-0.161897,-0.024078,-0.0511845,-0.0376622,-0.0541152,-0.135487,-0.135468,-0.0453759,-0.0386016,-0.0673951,-0.0468418,-0.114031,-0.0173155,0.0247578,-0.108662,-0.074504,0.0396968
89,-0.122447,-0.187954,-0.110593,-0.0457115,-0.0498402,-0.0854952,-0.129787,-0.0938468,-0.0433408,0.0246452,-0.0227793,-0.0393295,-0.202778,0.00214619,-0.0539227,-0.117028,-0.00773362,0.0423088
90,-0.0954234,-0.129654,-0.0574431,-0.108251,-0.0545294,-0.0845926,-0.1424,-0.145202,0.00133912,-0.00256254,-0.0735634,-0.0621093,-0.046026,-0.029676,0.0121408,-0.0833447,-0.0800059,0.0654249
91,-0.109978,-0.219912,-0.0932742,-0.107698,0.00291772,-0.0887489,-0.0860228,-0.123139,-0.0531353,0.00119871,-0.0431271,-0.0440459,-0.256048,-0.0520271,0.0549842,-0.102799,-0.00244501,0.0379577
92,-0.131716,-0.152336,-0.0558519,-0.0363767,-0.0922904,-0.079169,-0.10918,-0.120134,0.00381301,0.027767,-0.0593948,-0.075778,-0.0306408,-0.00319461,-0.0915572,-0.0849659,-0.0829526,0.0518629
93,-0.11283,-0.195441,-0.0635546,-0.10162,-0.0623357,-0.11106,-0.108679,-0.125814,-0.0500548,-0.032456,-0.027861,-0.0107039,-0.0983093,-0.0898754,0.0422341,-0.114399,-0.0311276,0.103171
94,-0.113013,-0.160431,-0.0973177,-0.0797192,-0.0724329,-0.130301,-0.0835236,-0.125337,-0.0197402,0.0440692,-0.0871766,-0.0608742,-0.223671,-0.0701492,-0.00954493,-0.124342,-0.0432852,0.00409589
95,-0.105068,-0.205079,-0.0699107,-0.0674301,-0.0179838,-0.0659604,-0.099389,-0.078841,-0.0305404,0.0377227,-0.0680583,-0.0495353,-0.114918,-0.0382311,-0.0664275,-0.089688,-0.0423719,0.104579
96,-0.141496,-0.171852,-0.0717593,-0.0606077,-0.0794469,-0.148718,-0.113418,-0.131823,-0.0176465,0.0352447,-0.071543,0.0188346,-0.174822,-0.00517754,-0.0931386,-0.128352,-0.0414864,-0.067071
97,-0.091907,-0.194707,-0.0588274,-0.0924677,-0.0439379,-0.0739732,-0.109535,-0.0659359,-0.00142467,-0.0202984,-0.0373459,-0.100666,-0.179013,-0.0382075,0.0660771,-0.0859872,-0.0292241,0.0368877
98,-0.148756,-0.191743,-0.0272181,-0.0853921,-0.0315587,-0.115469,-0.0905662,-0.116759,0.0128852,0.0438837,-0.0861764,-0.0188199,-0.14279,-0.0340628,-0.0977335,-0.131018,0.0263344,0.0871905
99,-0.1041,-0.212338,-0.116618,-0.0509658,-0.0382488,-0.0530126,-0.12499,-0.134132,-0.0174822,-0.0479698,-0.0968249,-0.0653391,-0.166,-0.081114,0.0401807,-0.104612,-0.0852182,0.0399672
100,-0.123578,-0.15811,-0.135008,-0.0897692,-0.00821127,-0.145364,-0.130571,-0.092315,-0.0238179,-0.00479023,-0.0324156,-0.0216627,-0.162364,-0.076495,0.00723635,-0.141137,6.53959e-05,0.0611023
101,-0.108777,-0.163795,-0.0140046,-0.0467236,-0.0593746,-0.0343653,-0.114794,-0.0527723,-0.015811,0.0325853,-0.0763472,-0.0287294,-0.165071,-0.0497405,-0.0426283,-0.168869,-0.0857294,0.0907513
102,-0.114685,-0.197068,-0.0281575,-0.0928605,-0.060045,-0.131395,-0.0961054,-0.116907,-0.0309329,0.0223337,-0.0641999,-0.0632159,-0.160283,-0.0838389,0.0062737,-0.0245054,-0.0661786,0.0640604
103,-0.120338,-0.150335,-0.0939892,-0.107592,-0.0256393,-0.0489632,-0.102752,-0.142086,-0.0450286,-0.0162256,-0.0557031,-0.0746851,-0.191697,-0.0875924,-0.120254,-0.101934,-0.0928126,0.086057
104,-0.133715,-0.182818,-0.0834656,-0.0422687,-0.0988094,-0.134029,-0.134956,-0.121267,-0.0196301,0.0417443,-0.0359953,-0.0537878,-0.187522,0.0172248,0.0621126,-0.11976,-0.00240506,0.029262
105,-0.146962,-0.164495,-0.0680419,-0.0963935,-0.00113148,-0.0940746,-0.0657718,-0.107984,-0.0239467,0.00757735,-0.0601208,-0.0635393,-0.142567,-0.127477,-0.0948375,-0.0671017,-0.0976483,0.0701778
106,-0.0935163,-0.143572,-0.0799286,-0.102481,-0.086161,-0.101827,-0.0897859,-0.110225,-0.0209534,-0.00309131,-0.0562997,-0.0555753,-0.121687,-0.0153773,0.0208004,-0.123435,-0.00981393,0.0428918
107,-0.126947,-0.157817,-0.092801,-0.0873917,-0.000689467,-0.0594964,-0.133985,-0.12085,-0.0152073,0.0167852,-0.0758656,-0.0622039,-0.168324,-0.0854291,-0.0343437,-0.121243,-0.0752543,0.114338
108,-0.108779,-0.208639,-0.0459374,-0.045344,-0.0315807,-0.110102,-0.0788273,-0.109993,-0.0357452,-0.000631964,-0.0181863,-0.041931,-0.153586,-0.0461672,0.0229899,-0.0495304,0.0415962,0.0483788
109,-0.113987,-0.188251,-0.118863,-0.082063,-0.0511672,-0.10979,-0.135497,-0.111468,-0.03042,-0.00230095,-0.0998703,-0.0935232,-0.129404,0.0120377,0.0356934,-0.170397,0.0154129,0.0274038
110,-0.142567,-0.182515,-0.01037,-0.0475963,-0.0360123,-0.0893896,-0.0846451,-0.134368,-0.00605168,-0.0243682,-0.0161265,-0.0684824,-0.174809,-0.140004,-0.114217,-0.0692345,-0.084264,0.0348136
111,-0.162539,-0.165441,-0.0949538,-0.0802241,-0.0472399,-0.0456337,-0.158784,-0.118201,-0.0367343,0.0275382,-0.0799621,-0.0193467,-0.129032,-0.0864829,-0.00262086,-0.130388,-0.0670303,0.0851632
112,-0.0788772,-0.19917,-0.0545412,-0.0682062,-0.0505739,-0.102173,-0.0895583,-0.101551,-0.0152675,-0.0143211,-0.0292808,-0.0821837,-0.189587,-0.0450504,-0.0873805,-0.108463,-0.0137317,0.0111997
113,-0.0294714,-0.155819,-0.0488289,-0.0831998,-0.0363907,-0.0445291,-0.151887,-0.153523,-0.0312671,0.0222721,-0.0282781,-0.074739,-0.102396,-0.0610806,-0.0614358,-0.12808,-0.12549,0.0836152
