,ebin00costbin00,ebin00costbin01,ebin00costbin02,ebin00costbin03,ebin00costbin04,ebin00costbin05,ebin01costbin00,ebin01costbin01,ebin01costbin02,ebin01costbin03,ebin01costbin04,ebin01costbin05,ebin02costbin00,ebin02costbin01,ebin02costbin02,ebin02costbin03,ebin02costbin04,ebin02costbin05
sigma_median,-0.63,-0.3,-0.064,-0.31,-0.11,-0.065,-0.57,-0.21,-0.34,0.2,-0.32,0.084,0.21,0.25,0.016,-0.54,0.083,-0.32
mcse,0.002632499999999982,0.0020859999999999768,0.002015349999999999,0.0020255000000000134,0.0019440000000000013,0.00206365,0.002318500000000001,0.0016634999999999983,0.0016404999999999892,0.0016410000000000036,0.0019470000000000043,0.0022024,0.002948000000000006,0.0023725000000000135,0.0025553499999999996,0.002404499999999976,0.002511399999999997,0.00296349999999998
rhat,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
