,toybin0000,toybin0001,toybin0002,toybin0003,toybin0004,toybin0005,toybin0006,toybin0007,toybin0008,toybin0009
188,0.574407,0.656985,0.467327,0.796203,0.644807,0.596397,0.49624,0.230317,-0.34834,0.430031
189,0.284976,-0.442202,0.484021,0.822256,0.127664,0.639468,0.217354,0.523564,0.01544,0.856558
190,0.345329,0.360399,0.629775,0.169801,-0.13884,0.717699,0.64368,0.708014,0.10709,0.649764
191,0.0508651,-0.127053,0.648902,0.854991,0.654486,0.721027,0.181872,0.782405,0.107353,0.314416
192,0.73289,0.485398,0.825898,0.520525,0.265779,0.866458,0.270746,0.338393,0.320606,0.384508
193,0.390373,-0.238721,0.831901,0.905901,0.486236,0.33615,0.535216,0.52131,-0.0994545,0.41685
194,0.23948,-0.199868,0.538434,0.338975,0.780798,0.908185,0.309633,0.415789,0.257399,0.348875
195,0.104677,0.540565,0.661905,0.755686,0.0223846,0.308331,0.653794,0.525577,0.353374,0.691475
196,0.599175,-0.288949,0.73926,0.386714,0.619853,0.673612,0.343329,0.588719,0.039018,0.0339912
197,0.350564,0.271948,0.301845,0.307668,0.240001,0.671735,0.808256,0.457614,0.179361,0.43983
198,0.608189,-0.454129,0.857455,0.768232,0.631524,0.560229,0.197507,0.315682,0.0775614,0.410419
199,-0.0971428,0.792733,0.219589,0.297529,0.0665505,0.716719,0.840513,0.290387,0.120639,0.529403
200,0.201051,-0.419708,0.806338,0.800223,0.504812,0.70171,0.448177,0.685047,-0.121849,0.290409
201,0.244185,0.608665,0.320532,0.513734,0.317449,0.598528,0.446193,0.623967,-0.0813134,0.51007
202,0.590335,-0.000160096,0.820308,0.71677,0.463012,0.571915,0.537058,0.459542,0.152688,0.119911
203,0.0944987,0.262795,0.472913,0.591716,0.323823,0.420777,0.796808,0.957011,-0.423709,0.495682
204,0.547341,0.322951,0.595348,0.573905,0.475259,0.722645,0.79949,0.601751,0.267803,0.243774
205,0.149924,0.359483,0.688829,0.589609,0.630392,0.591057,0.19517,0.23166,0.0255814,0.648954
206,0.366596,-0.177342,0.291486,0.636559,0.116857,0.72164,0.6495,0.611086,0.105561,0.492984
207,0.234382,0.692863,0.758664,0.428833,0.471491,0.832592,0.546294,0.624849,0.326442,0.565265
208,0.510322,0.423131,0.493594,0.705294,0.74465,0.898993,0.273875,0.541608,0.0712796,0.241004
209,0.686448,0.35921,0.661401,0.227442,0.578383,0.586094,0.586478,0.406897,0.0311185,0.302188
210,0.103679,0.151817,0.562677,0.744116,0.232722,0.639857,0.116259,0.525455,0.273616,0.769929
211,0.419303,0.205404,0.37269,0.314308,0.346178,0.639412,0.790818,0.568612,-0.321054,0.357892
212,0.174303,0.205404,0.962375,0.815155,0.378879,0.665599,0.541276,0.444682,-0.216373,0.453093
213,0.600701,0.0369984,0.884275,0.728846,0.385041,0.582457,0.457797,0.324269,0.326892,0.699531
214,0.572787,0.240691,0.611422,0.590234,0.348324,0.671437,0.831913,0.658835,0.187298,0.114658
215,-0.0908177,-0.0309706,0.731346,0.553882,0.430174,0.723221,0.280582,0.261446,0.0880224,0.66008
216,0.684323,-0.0505338,0.805614,0.787791,0.59655,0.778876,0.679777,0.70007,-0.000506447,0.611523
217,0.379371,-0.0243215,0.377983,0.724567,0.554307,0.459874,0.104657,0.348369,-0.0470105,0.115001
218,0.391203,0.295933,0.650878,0.202127,0.138368,0.757234,0.869978,0.831918,0.135631,0.484972
219,0.21953,0.165899,0.755537,0.979651,0.714797,0.592208,0.972368,-0.237902,-0.128555,0.482488
220,0.489458,0.174384,0.512935,0.286266,0.717552,0.866344,0.268623,0.949717,-0.181197,0.287096
221,0.152584,0.350651,0.640171,0.810747,0.175935,0.382263,0.492911,0.831678,0.367608,0.652304
222,0.464654,0.0386583,0.617336,0.346609,0.688852,0.691097,0.359944,0.54888,-0.308879,0.604097
223,0.166246,-0.0793526,0.824457,0.75342,0.545681,0.566429,0.676296,0.407929,-0.0826049,0.530195
224,0.526782,0.271886,0.09227,0.948299,0.227827,0.740935,0.512123,0.67751,-0.0207315,0.0603189
225,0.510249,-0.0176819,0.917079,0.734775,0.27304,0.832176,0.250133,0.350271,0.576788,0.225356
226,0.367782,0.347758,0.100983,0.863087,0.274842,0.528054,0.427823,0.536473,0.310753,0.45803
227,0.656166,0.0304127,0.895193,0.777797,0.488267,0.940522,0.390376,0.46531,-0.199224,0.413624
228,0.52769,0.23922,0.70984,0.872969,0.175851,0.851049,0.44,0.456174,0.354375,0.364037
229,0.0195258,-0.183484,0.564804,0.146383,0.600407,0.781885,0.652954,0.497414,-0.231522,0.208347
230,0.733459,0.707535,0.524116,0.553757,0.110936,0.627783,0.187259,0.610401,0.227769,0.747435
231,0.143766,0.0932977,0.6697,0.58789,0.519378,0.619436,0.686883,0.368574,-0.100018,-0.000632691
232,0.688712,0.26234,0.713412,0.528686,0.326441,0.657814,0.0151157,0.802444,-0.0418925,0.73122
233,0.221815,0.0410307,0.644478,0.631546,0.466826,0.64434,0.794751,0.301104,0.0396289,0.55752
234,0.350732,0.254701,0.458176,0.579219,0.819474,0.61074,0.225295,0.6743,0.067109,0.471604
235,0.389469,0.0171481,0.870957,0.818513,0.648265,0.738964,0.593783,0.256973,0.154348,0.478046
236,0.108531,0.230044,0.947548,0.456241,0.328691,0.744774,0.283772,0.82361,-0.0182603,0.357807
237,0.36153,0.0400194,0.66383,0.57956,0.409919,0.812193,0.494552,0.80395,0.0342458,0.31675
238,0.169447,0.395959,0.793733,0.614178,0.723044,0.598201,0.250549,0.285748,-0.366596,0.311848
239,0.460147,-0.0777233,0.39095,0.519903,0.0290903,0.55946,0.492825,0.459062,-0.479006,0.387941
240,0.112512,0.467633,0.541599,0.441811,0.855576,0.804124,0.348033,0.448528,0.429673,0.661757
241,0.577021,-0.313383,0.737658,0.772608,0.0151423,0.942041,0.361239,0.760043,0.446791,0.156088
242,0.593224,0.534226,0.458109,0.772608,0.547235,0.962443,0.378546,0.274413,-0.0644192,0.626253
243,-0.0563366,-0.312087,0.710127,0.543544,0.242393,0.347621,0.733065,0.853491,0.199945,0.414361
244,-0.236637,0.500312,0.523883,0.649749,0.268707,0.897035,0.351638,0.406686,0.0554587,0.439174
245,0.665644,-0.24361,0.584882,0.624794,0.638673,0.889903,0.445975,0.56715,-0.0987534,0.466266
246,0.63499,0.375328,0.654477,0.425105,0.650914,0.328208,0.415213,0.778929,0.0864042,0.486595
247,0.482349,-0.135988,0.503415,0.646385,0.522332,0.774449,0.507262,0.112889,0.0579056,-0.0157227
248,0.737873,-0.201293,0.318136,0.599715,0.456179,0.768249,0.461163,0.212938,0.0535259,0.741645
249,0.740471,0.485377,0.904388,0.697205,0.187593,0.583031,0.35999,0.644796,0.142571,-0.00920032
250,-0.149653,-0.259106,0.100239,0.345818,0.578387,0.735383,0.530088,0.291416,-0.174005,0.316432
251,0.726052,0.413214,0.928581,0.477655,0.147388,0.635701,0.314193,0.622754,-0.0680227,0.285622
252,-0.161044,-0.0893601,0.323498,0.892892,0.176771,0.862563,0.452527,0.275042,0.123132,0.487455
