,toybin0000,toybin0001,toybin0002,toybin0003,toybin0004,toybin0005,toybin0006,toybin0007,toybin0008,toybin0009
sigma_median,0.34,0.14,0.64,0.61,0.44,0.71,0.52,0.52,0.073,0.44
mcse,0.0048705,0.002713000000000007,0.004550499999999957,0.0038779999999999926,0.00403400000000001,0.004726000000000008,0.004959500000000006,0.005468500000000043,0.0034897000000000053,0.003050999999999998
rhat,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
