,ebin00costbin00,ebin00costbin01,ebin00costbin02,ebin00costbin03,ebin00costbin04,ebin00costbin05,ebin01costbin00,ebin01costbin01,ebin01costbin02,ebin01costbin03,ebin01costbin04,ebin01costbin05,ebin02costbin00,ebin02costbin01,ebin02costbin02,ebin02costbin03,ebin02costbin04,ebin02costbin05
28,-0.869453,-0.737872,-0.0469293,-0.106455,0.199463,0.16531,-0.669236,-0.706711,-0.623242,0.00884846,-0.924958,0.181555,0.0127007,-0.172077,-0.437956,-0.471278,0.217774,-0.394509
29,-0.955423,-0.102626,0.0682654,-0.338751,0.413832,0.12912,-0.783025,0.225271,-0.267512,0.339005,0.455647,0.265782,-0.0869997,-0.305634,0.4822,-0.51342,-0.0556456,-0.129531
30,-0.889517,-0.28778,0.224873,-0.293999,-0.394597,-0.200802,-0.49214,-0.542219,-0.626812,0.171767,0.0451619,0.328658,0.250594,0.489669,-0.43856,-0.373286,0.216548,-0.0473985
31,-0.309751,-0.383887,-0.072188,-0.621165,0.165472,0.186134,-0.973304,0.232484,0.127005,0.506137,-0.441295,-0.240713,0.0906258,0.378915,0.474771,-0.762935,0.704053,-0.382971
32,-0.535366,-0.0985826,0.038768,-0.581811,-0.0163463,-0.229054,-0.542089,-0.44347,-0.697901,-0.0248878,0.32381,0.0340227,0.212126,0.17233,-0.0926542,-0.782039,0.70613,-0.679727
33,-0.434251,-0.265362,-0.500839,-0.618464,-0.255594,0.0734007,-0.497849,-0.0840524,0.0194453,0.301391,-0.493509,0.09343,-0.185835,0.321552,0.361838,-0.378128,-0.358295,-0.678683
34,-0.431925,-0.193837,0.496638,-0.285514,0.0201618,-0.0781581,-0.60238,-0.260886,-0.564164,-0.401882,0.0935033,0.356301,0.139886,0.646346,0.590514,-0.81721,0.57295,0.182478
35,-0.600443,-0.536817,-0.655572,-0.528318,-0.29419,0.104456,-0.482225,-0.295758,0.135921,0.155153,-0.511752,0.127263,0.26149,-0.280435,-0.54649,-0.953529,-0.437345,-0.487169
36,-0.472964,0.206631,-0.236447,-0.516218,0.0727582,-0.471345,-0.51911,-0.314176,-0.240859,0.300854,-0.30778,-0.262937,0.117679,0.690913,0.593096,0.0386399,-0.111317,-0.2537
37,-0.692461,-0.737429,-0.181364,-0.0512136,-0.22454,0.654439,-0.547637,-0.0984281,-0.50982,0.0235767,-0.364187,0.304648,0.279278,-0.258003,0.397379,-0.98947,-0.08943,-0.529809
38,-0.723039,-0.0564534,0.0157997,-0.284528,-0.160691,-0.0384569,-0.656673,-0.291365,-0.544298,0.308927,-0.402993,0.100535,0.579225,-0.0866852,-0.304406,-0.739731,0.0841133,-0.807466
39,-0.180284,-0.510616,-0.0732473,0.0871768,-0.141349,-0.0275433,-0.703907,-0.368091,-0.182644,0.140982,-0.498996,0.377979,-0.276371,0.378953,0.55785,-0.438173,0.399617,-0.995896
40,0.173396,-0.708279,-0.0463877,0.191531,-0.147494,0.263058,-0.815987,0.0216252,-0.348209,-0.359679,0.007704,-0.204486,0.573838,0.320885,-0.116575,-0.472481,0.403815,-0.838947
41,-0.987524,-0.107427,-0.471455,-0.704451,-0.228911,-0.390294,-0.396467,-0.393261,-0.288529,0.719172,0.507344,0.455163,0.786568,0.276649,0.147577,-0.540538,-0.209559,0.390669
42,-0.995917,0.0656028,0.361982,-0.819574,-0.157318,-0.750836,-0.890013,-0.00736639,-0.433912,-0.216579,-0.961526,0.857803,0.086132,0.0714769,-0.0919505,-0.341564,0.0839688,-0.746005
43,-0.985445,-0.500683,0.211148,-0.143682,-0.00127096,-0.404566,-0.206888,-0.340344,-0.28864,0.591436,-0.106765,-0.445976,0.166773,0.0385796,-0.0392451,-0.367498,0.296238,-0.0162765
44,-0.362413,-0.54771,-0.518547,-0.357964,-0.10574,-0.0298144,-0.195831,0.148712,-0.353708,-0.227796,-0.442856,0.566391,0.165522,0.156517,-0.263294,-0.79034,-0.450855,-0.374832
45,-0.447006,-0.0540788,0.285171,-0.597662,-0.20436,0.021251,-0.225167,0.11648,-0.296897,0.542469,-0.410152,-0.443987,0.125357,0.0332517,0.241622,-0.807791,0.279063,-0.231664
46,-0.449897,-0.254466,-0.244822,0.187587,-0.124749,-0.214697,-0.778894,-0.00199435,-0.714259,-0.226039,-0.365835,-0.26065,-0.339525,0.0956622,-0.657755,-0.961177,-0.0847536,-0.167902
47,-0.372019,-0.210657,0.319068,-0.676005,0.0816901,-0.124495,-0.541271,-0.615282,-0.531522,0.356514,-0.471164,-0.252522,-0.661876,-0.106763,-0.736396,0.160643,-0.000817618,-0.177005
48,-0.751572,-0.335824,0.113172,0.177694,-0.152369,0.121885,-0.55343,0.194074,-0.277641,0.64025,0.0345127,0.326988,-0.0436743,0.549048,0.411794,-0.957565,0.30126,-0.0394097
49,-0.733637,-0.0707884,0.183442,-0.681774,0.173976,0.520283,-0.48619,-0.480105,-0.358883,-0.283587,-0.498,0.02329,0.37956,-0.0509081,-0.654277,-0.960565,-0.158919,-0.325861
50,-0.814259,-0.413801,-0.292482,-0.454073,0.162017,-0.598479,-0.568337,-0.443409,-0.2262,0.537473,-0.186873,0.637947,0.116672,0.420196,-0.106055,-0.921295,0.141973,-0.756955
51,-0.981776,-0.447891,0.19657,-0.213141,0.230065,-0.633682,-0.757658,-0.0942825,-0.390865,0.00902765,-0.39554,-0.266783,-0.558609,0.120299,0.175566,0.034566,0.565293,-0.00772158
52,-0.500498,-0.0964689,-0.153535,-0.410476,-0.256531,-0.748643,-0.413798,-0.232761,-0.109264,0.16166,-0.0223756,-0.270995,-0.302192,0.240597,-0.102614,-0.745152,-0.100591,0.42014
53,-0.668133,-0.387879,-0.13379,-0.418805,0.0957203,0.560824,-0.545225,0.289507,-0.013783,0.879853,-0.636511,0.444459,0.594133,0.276319,0.160474,-0.58791,-0.334429,-0.699073
54,-0.481999,-0.350729,0.00979825,-0.151614,-0.349183,-0.0918109,-0.346526,-0.59453,-0.285859,0.7723,-0.284454,-0.0450274,0.018793,0.439019,-0.158774,-0.54511,0.460964,-0.288629
55,-0.70668,-0.264937,0.395444,-0.220352,-0.540424,0.0156492,-0.812519,-0.169466,-0.262105,-0.350682,-0.458195,-0.0945181,0.339391,-0.099755,0.408773,-0.594906,-0.203719,-0.413102
56,-0.604132,-0.195546,0.227714,-0.355598,0.0155326,-0.141067,0.154968,-0.383058,-0.429134,0.736542,-0.2104,0.554632,-0.252632,0.45576,-0.0309775,-0.394271,0.144872,-0.200775
57,-0.522589,-0.72195,0.436886,-0.122363,-0.129092,-0.390218,-0.855959,-0.0306526,-0.649854,-0.409911,-0.274603,0.79906,0.95879,0.210859,-0.345495,-0.407922,0.167753,-0.384481
58,-0.0719493,-0.647747,0.291173,-0.543676,-0.0710286,0.428688,-0.899836,-0.395665,0.0763456,0.698535,-0.23374,-0.024335,0.554308,0.237795,-0.0835866,-0.575157,0.439289,-0.00160851
59,-0.0505388,-0.0965012,0.156704,0.114257,-0.110583,-0.580634,-0.114887,-0.016804,-0.504125,0.76765,-0.39836,0.0827495,-0.201764,0.0219806,-0.0588846,-0.613481,0.00991585,-0.658185
60,-0.812717,-0.475706,0.150085,-0.653933,-0.439307,-0.613683,-0.816235,0.294577,-0.448124,0.38335,-0.0966062,0.130593,0.660329,0.268338,0.351311,-0.028242,0.0332723,-0.831594
61,-0.214508,-0.00242063,-0.0308495,-0.752879,0.12855,-0.0864392,-0.31439,-0.317197,-0.218189,0.13599,-0.98732,-0.00438867,0.405445,0.235062,-0.0833156,-0.892583,-0.302945,0.223736
62,-0.629078,-0.227852,-0.0900635,-0.788141,-0.285969,-0.234407,-0.865972,-0.156796,-0.337879,0.747953,-0.987061,0.428004,0.189071,0.377317,0.0750833,-0.597126,0.7973,-0.919495
63,-0.922902,-0.503349,-0.133734,-0.615507,0.176831,0.0097486,-0.896923,-0.201717,-0.070948,0.635922,-0.990411,-0.269574,-0.190863,-0.0611444,0.127807,-0.454899,-0.306068,-0.858227
64,-0.767225,-0.629184,-0.349999,-0.480245,0.199861,-0.0706546,-0.613948,-0.192014,-0.729783,-0.0197082,-0.222832,0.169527,0.748116,0.0602477,-0.171175,-0.697473,0.44006,0.0751888
65,-0.857801,-0.667888,-0.0590821,-0.048927,-0.65729,0.0276562,-0.715282,-0.0314371,-0.423735,0.392596,-0.552628,0.0388668,-0.179793,0.138016,0.541773,-0.597032,0.0293996,-0.729431
66,-0.373521,-0.0143343,-0.142344,-0.54602,0.0659844,-0.525773,-0.39214,-0.345776,-0.477734,0.588321,-0.0353067,0.279162,0.704503,0.31116,-0.30548,-0.270617,-0.133248,-0.175759
67,-0.749729,0.100394,0.275304,0.0775688,-0.294142,-0.185043,-0.493155,-0.0476934,-0.885979,0.0512255,-0.573182,-0.494427,-0.645589,0.337541,0.351924,-0.648542,0.293667,-0.431733
68,-0.872455,-0.262244,0.499969,-0.593515,-0.218019,-0.274937,-0.546358,0.121071,0.347016,0.0987306,-0.0137004,0.51275,0.924844,-0.27146,-0.159337,-0.271282,-0.296954,-0.178072
69,-0.760814,-0.0542206,-0.632933,-0.419701,0.0326213,0.0718962,-0.447355,-0.501691,0.215477,0.193116,-0.552186,0.0327487,-0.709138,0.66626,0.022493,-0.471182,-0.419027,-0.115706
70,-0.688417,-0.132028,0.166381,-0.28192,-0.137333,0.0147814,-0.592002,0.112091,-0.813438,0.203869,-0.0916983,-0.0485078,0.545173,-0.31001,0.108275,-0.876107,0.712021,-0.292495
