,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,a[1],a[2],a[3],a[4],b[1],b[2],b[3],b[4],sigma_bkg,a_bkg[1],a_bkg[2],a_bkg[3],a_bkg[4],b_bkg[1],b_bkg[2],b_bkg[3],b_bkg[4]
1912,-0.45951,0.99711,0.569286,3.0,7.0,0.0,9.53866,-0.330903,0.0299625,0.00583226,-0.084174,0.0397803,0.0026931,-0.0520669,-0.0641636,-0.0572985,-0.270744,0.0236837,-0.0149649,0.0985942,-0.0788302,-0.0109476,0.0711299,0.00805967,0.0947095
1913,-0.869138,0.855106,0.569286,3.0,7.0,0.0,6.49204,-0.0265904,0.0689021,-0.0208092,0.0372046,-0.0325193,-0.152815,0.129983,-0.0985011,0.0721073,-0.222226,0.0509138,-0.0351836,-0.00692422,-0.11761,-0.106169,-0.0916413,-0.0313307,0.0746371
1914,-6.31041,0.741739,0.569286,3.0,7.0,0.0,11.7928,0.247619,0.0816687,-0.071158,-0.13369,-0.0445894,-0.150602,0.0265104,-0.0319069,0.0447769,-0.155055,0.0993147,0.0257021,-0.0601745,-0.0213437,-0.209753,0.0040266,0.0462199,0.0715859
1915,-6.25011,0.997902,0.569286,3.0,7.0,0.0,13.9498,-0.610441,0.0496957,0.0847519,0.0586018,0.0403281,0.0343725,0.0238851,-0.115777,-0.0817855,-0.261508,-0.0539467,-0.09048,0.195471,-0.121531,-0.000426077,-0.114418,-0.0709346,-0.0432979
1916,-6.18783,0.994253,0.569286,3.0,7.0,0.0,12.4575,-0.803864,0.070439,-0.0623872,-0.0974513,0.0644719,-0.158281,0.0767154,-0.00732182,-0.000628095,-0.170455,0.0738117,0.0282474,-0.092398,-0.0558655,-0.161684,-0.0443803,0.00639812,0.058334
1917,-4.18809,0.959683,0.569286,3.0,7.0,0.0,14.09,0.163429,0.0942456,0.0291415,-0.00725051,0.0195848,-0.0126361,-0.0987889,0.0112812,0.0512481,-0.291005,-0.0545244,-0.0857753,0.12537,-0.0670805,-0.00730798,0.0173124,-0.024017,-0.0824007
1918,-5.57045,0.917445,0.569286,3.0,7.0,0.0,13.6476,-0.0115988,0.0794281,0.0450778,-0.0895009,-0.0325195,0.0384795,-0.111338,-0.0338941,0.0863003,-0.349579,-0.0471269,-0.0934231,0.0659499,-0.032466,0.0489479,0.00341485,-0.0635072,-0.0527336
1919,-1.10296,0.988173,0.569286,3.0,7.0,0.0,10.6609,-0.074519,0.117035,-0.0116699,-0.0555758,-0.0664491,-0.0636074,0.139992,-0.0806583,-0.0690678,-0.130817,-0.0435479,-0.0300554,0.120248,-0.147233,-0.0678521,-0.0812683,0.0498697,0.0655664
1920,-2.77765,0.919487,0.569286,3.0,7.0,0.0,7.39605,-0.577777,-0.00462838,0.013418,-0.0244688,0.0921958,-0.037519,-0.098624,-0.0698993,0.0335706,-0.252486,0.0894369,-0.0146669,-0.0135748,-0.0172643,-0.124673,0.0268823,-0.0763645,-0.0273144
1921,0.269824,0.950776,0.569286,3.0,7.0,0.0,8.85145,-0.390441,0.117018,0.0303058,-0.0406521,-0.0689429,-0.0314543,0.100478,-0.0781789,-0.0484613,-0.169212,0.0103112,0.0219534,0.0433496,-0.114004,-0.0317297,-0.0964015,-0.0574107,0.0992401
