pol	phi	weight
-0.305497	133.088	-0.0666667
-0.295658	133.088	-0.0666667
-0.315091	131.841	-0.0666667
-0.326176	-72.6698	1
0.304424	-138.938	1
0.316935	-72.4945	-0.0666667
0.304424	111.424	-0.0666667
0.294775	-164.392	-0.0380952
0.304424	-54.7667	1
-0.327765	33.3483	-0.0666667
0.288277	-33.7697	1
-0.318226	-16.8188	-0.0666667
0.316935	-131.802	-0.0666667
-0.295658	-80.8387	-0.0666667
0.29153	155.933	-0.0666667
-0.327765	128.199	-0.0666667
-0.308746	128.199	1
-0.295658	128.199	-0.0666667
-0.310355	-153.647	-0.0666667
0.309101	-101.039	-0.0666667
0.298011	3.58425	1
0.299623	82.2106	-0.0666667
0.29153	-40.5565	-0.0666667
0.286646	162.764	1
0.309101	42.6889	-0.0666667
0.316935	42.6889	-0.0666667
-0.327765	45.7508	-0.0666667
0.32009	5.64815	-0.0666667
0.318512	138.056	-0.052381
0.310652	35.6979	-0.0666667
-0.311949	-1.98778	-0.0666667
-0.326176	132.114	-0.0666667
-0.305497	173.295	-0.0666667
0.316935	128.964	-0.0666667
0.294775	42.6813	1
0.318512	-142.621	1
0.310652	-12.8762	-0.0666667
0.309101	-123.028	1
0.307554	-63.4567	1
-0.324587	-13.1	-0.0666667
-0.295658	104.967	1
-0.322991	-1.3827	1
-0.305497	-1.3827	-0.0666667
-0.307123	134.599	1
0.29153	24.5978	-0.0666667
0.29153	24.5978	-0.0666667
0.299623	-112.957	-0.0666667
-0.321366	89.0949	1
0.304424	67.544	1
-0.303861	-123.39	1
0.298011	-2.30906	-0.0666667
0.310652	-32.1251	1
-0.315091	-179.56	-0.0666667
-0.303861	-179.56	1
0.298011	16.2218	1
-0.308746	165.822	-0.0666667
-0.319228	-9.29151	1
0.304424	-46.8151	-0.052381
-0.307123	38.4948	1
-0.322991	36.3438	-0.0666667
0.288277	137.263	1
-0.321399	-156.005	1
-0.298947	-156.005	-0.0666667
0.32009	157.407	-0.0285714
-0.29725	57.8237	-0.0666667
-0.308746	57.8237	1
0.309101	162.913	1
0.318512	-148.969	1
-0.311949	-90.7913	1
0.29153	113.213	-0.0666667
-0.308746	11.0967	-0.0666667
-0.308746	-17.6725	1
0.310652	32.8067	-0.0666667
0.298011	32.8067	1
0.293151	102.051	1
0.309101	85.4674	1
0.309101	137.443	-0.0666667
0.296392	137.443	1
0.298011	139.633	-0.0666667
-0.298947	178.969	-0.0666667
-0.298947	42.3552	1
0.305994	-120.913	1
-0.295658	-28.3079	-0.0666667
-0.311949	-17.0609	-0.0666667
-0.324587	-163.06	1
-0.315091	-116.106	-0.0666667
-0.326176	-116.106	1
-0.297302	103.755	-0.0666667
-0.305488	-79.3532	1
0.286091	-109.206	-0.0666667
0.288277	161.461	1
-0.319033	156.319	1
0.297633	26.3871	-0.0666667
-0.322187	-122.982	1
0.289958	-18.0392	-0.0666667
0.321452	-31.4813	1
-0.330173	-144.551	-0.0666667
0.313557	-2.08488	-0.0666667
-0.306128	133.918	1
0.304116	-131.954	-0.0666667
0.321452	-127.442	-0.0666667
0.315122	-150.874	-0.0666667
0.3025	-150.874	-0.0666667
-0.309413	169.025	-0.0666667
-0.32858	-169.577	1
0.300882	30.8916	-0.0666667
0.294374	46.1783	-0.0666667
0.313557	91.6984	-0.0666667
0.308883	91.6984	1
-0.30777	131.302	-0.0666667
0.321356	-152.788	-0.0666667
0.299257	175.603	1
-0.306128	172.098	1
0.31473	19.756	-0.0666667
0.31473	125.994	-0.047619
0.309951	-3.49246	1
0.301779	152.597	1
-0.303434	-157.179	1
0.31473	-118.882	1
0.309951	-132.864	1
-0.310072	14.9912	-0.0666667
-0.334198	160.006	-0.0666667
-0.331003	118.345	-0.0666667
-0.334198	-103.171	1
-0.321434	23.5277	1
0.322617	-50.5601	1
-0.33578	-145.55	1
-0.335788	-167.86	-0.0285714
0.303423	94.7654	1
0.317866	145.598	1
-0.321434	-85.1081	1
-0.308414	98.5433	-0.0666667
0.31944	4.71594	1
0.295191	4.71594	-0.0666667
0.29849	24.1099	-0.0666667
0.306697	170.285	-0.0666667
0.300138	-33.2139	1
0.306697	156.638	-0.0666667
-0.310072	176.693	1
-0.318256	138.68	1
-0.323015	-155.905	-0.0666667
0.325804	-84.222	1
0.328978	140.206	-0.0666667
0.31156	140.206	1
0.300138	48.3446	1
0.316263	-50.3161	-0.0666667
0.322617	166.867	-0.0666667
0.31156	112.902	1
0.300138	-123.392	1
0.29849	-123.392	-0.0666667
0.325804	100.552	-0.0666667
-0.327792	67.5206	1
0.321384	-17.0552	-0.0666667
-0.309496	37.5045	-0.0666667
-0.316184	-50.3882	-0.0666667
-0.338801	39.8272	-0.0666667
-0.309496	-108.68	-0.0666667
-0.335603	-44.7254	1
0.311916	75.0087	-0.0666667
-0.338801	-7.96024	-0.0666667
0.311916	125.805	-0.0666667
0.321422	151.111	-0.0666667
-0.330775	-137.927	1
0.329388	111.641	-0.0380952
-0.314514	155.8	1
-0.337663	165.219	-0.0666667
-0.31117	24.8387	-0.0666667
-0.341954	-65.074	1
-0.335603	-75.3801	1
-0.314514	-42.2199	-0.0666667
0.321422	-100.065	-0.0666667
-0.319504	60.5297	-0.0666667
-0.338801	164.654	-0.0666667
-0.341828	-156.807	1
-0.319504	-156.807	-0.0666667
0.300429	-112.841	-0.0666667
-0.319504	33.0535	-0.0666667
0.302081	34.9908	-0.0666667
-0.335603	144.574	1
-0.309496	18.7755	-0.0714286
-0.325999	-19.819	-0.0666667
-0.317845	40.5868	1
-0.338801	136.256	1
-0.319504	-17.5418	1
-0.335603	-137.871	-0.047619
-0.322786	99.7418	-0.0666667
-0.321149	-10.8867	1
-0.309496	-10.8867	-0.0666667
